Building ID,MapLot,Year Added,2016 Report Received,Report Type,Buildings Included,Assessor Address,Address Point GIS,Property Type,Primary Property Type - Self Selected,Year Built,Property GFA - Self Reported (ft2),Grantee,Co_grantee,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Indoor Water Intensity (All Water Sources) (gal/ft2)
476-9,132-138,2015,Yes,Single,,2 Mt Auburn Street,"2 Mt Auburn St
Cambridge, MA
(42.37007339100006, -71.11335005199999)",Residential,Multifamily Housing,1972,71582,"Hri Putnam Square, LLC",,43,658127.1,2245530,33993.36874,3399336.9,,,,,,,,,,5644866.9,5615861.9,78.9,78.5,10620268,10546174.7,148.4,147.3,397.8,5.6,2007,28.04
668-76,52A-22,2015,Yes,Single,,31 Ames St,"500 Main St
Cambridge, MA
(42.36268688800004, -71.08984401299995)",Nonresidential,College/University,2010,367689,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,9603057.9,32765637.6,137.0000125,13700,,,,,,,49471771.5,58754342,,141005451.1,,383.5,,223054146.4,,606.6,,9679,26.3,11870.1,
746-4,63-132,2015,Yes,Single,,325 Vassar St,"325 Vassar St
Cambridge, MA
(42.35508579200007, -71.10516334299996)",Nonresidential,Laboratory,1950,52520,BMR-325 Vassar Street LLC,c/o Biomed Realty Trust,,2405815.9,8208644.7,96087.00219,9608700.2,,,,,,,,,,17817344.9,17800879.4,339.2,338.9,35864279.5,35846990.8,682.9,682.5,1304.5,24.8,2542.6,48.41
219-14,226-30,2015,Yes,Single,,60 Concord Ave,"96 Concord Ave
Cambridge, MA
(42.38137440600008, -71.12929571799998)",Nonresidential,Worship Facility,1925,28590,Roman Catholic Archbishop Of Boston,Corporation Sole,55,120320,410531.8,18291.999142,1829199.9,,,,,,,,,,2239731.8,2219202.5,78.3,77.6,3209729.9,3188174.2,112.3,111.5,136.9,4.8,359.1,9.89
99-4,179-87,2015,No,Single,,23 White St,"36 White St
Cambridge, MA
(42.38908165000004, -71.11808721099999)",Nonresidential,,,,"Hekimian, James S. &","Kaig Der Manuelian, Trs.",,,,,,,,,,,,,,,,,,,,,,,,,,
591-9,30-42,2015,Yes,Single,,15 Cambridge Ctr,"15 Cambridge Ctr
Cambridge, MA
(42.364715432000025, -71.08900088699994)",Nonresidential,Laboratory,1999,245405,North Parcel Limited Partnership,"Attn:  Russell Smith, Associate Tax Dir",,16147163.9,55094130,,,,,,,,,,66320919.1,,121415049.1,119466233.1,494.8,486.8,252782359.4,249311526.6,1030.1,1015.9,9733.7,39.7,14717.2,
387-8,242-38,2015,Yes,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA
(42.37220282100003, -71.13761762899998)",Nonresidential,K-12 School,1926,143841,Shady Hill School,,,898460.8,3065548.8,43589.7132503,4358971.3,,,,,,,,,,7424520.1,7336892.4,51.6,51,14202743,14084892.4,98.7,97.9,528.1,3.7,1100.3,
241-8,144-1,2015,Yes,Child,"241-45, 241-8, 241-4, 241-41",2 Oxford St,"12 Oxford St
Cambridge, MA
(42.377251913000066, -71.11600746799996)",Nonresidential,Laboratory,1958,254734,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,6371752.9,21740423.6,,,,,,,,,23578011.4,19683290.8,,65001725.8,63949202.3,255.2,251,115522749.4,114430362.9,453.5,449.2,4652.8,18.3,3711.7,
714-4,67-66,2016,Yes,Single,,287 Albany St,"281 Albany St
Cambridge, MA
(42.35769542200006, -71.10279264699994)",Nonresidential,Laboratory,1950,31768,Massachusetts Institute Of Technology,Office Of The Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
747-2,62-34,2015,Yes,Single,,560 Memorial Dr,"286 Vassar St
Cambridge, MA
(42.35569420100006, -71.10379733699995)",Nonresidential,College/University,1963,9321,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
453-27,116-12,2016,Yes,Child,"453-3, 453-27, 453-4",1003 Massachusetts Ave,"1001 Massachusetts Ave
Cambridge, MA
(42.36951626500007, -71.11159009599999)",Nonresidential,Mixed Use Property,1960,40000,"Simon, Richard & William C.Kaplan,Trs.",C/O Eastport Real Estate Services,,,,,,,,,,,,,,,,,,,,,,,,,,
131-1,153-85,2016,Yes,Single,,1797-1801 Massachusetts Ave,"1801 Massachusetts Ave
Cambridge, MA
(42.38654587900004, -71.11914391999994)",Nonresidential,College/University,2015,70172,Lesley University, ,,,,,,,,,,,,,,,,,,,,,,,,,,
387-24,242-38,2015,Yes,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA
(42.37220282100003, -71.13761762899998)",Nonresidential,K-12 School,1926,143841,Shady Hill School,,,898460.8,3065548.8,43589.7132503,4358971.3,,,,,,,,,,7424520.1,7336892.4,51.6,51,14202743,14084892.4,98.7,97.9,528.1,3.7,1100.3,
461-12,18-47,2015,Yes,Child,"461-14, 461-9, 461-10, 461-11, 461-12, 461-13, 461-15",1 First St,"29 Otis St
Cambridge, MA
(42.37009670100008, -71.07814743699998)",Residential,Multifamily Housing,2004,291742,"First Street Venture, L.L.C.,","C/O Leggat Mccall Properties Llc,",100,362014,1235191.8,26050.743788,2605074.4,,,,,,,,,,3840266.2,3674026.9,13.2,12.6,6613830.4,6395825.7,22.7,21.9,257.9,0.9,8076.3,
267-34,255-100,2015,Yes,Child,"267-10, 267-13, 267-12, 267-56, 267-50, 267-44, 267-32, 267-37, 267-35, 267-30, 267-28, 267-27, 267-24, 267-17, 267-16, 267-14, 267-31, 267-21, 267-43, 267-34, 267-18, 267-19, 267-19, 267-15, 267-10",18 Cushing Court,"6-1 Corcoran Ln
Cambridge, MA
(42.37682654900004, -71.15453970199997)",Residential,Multifamily Housing,1953,200633,Cambridge Housing Authority,,65,683629.9,2332545.6,155696.00071,15569600.1,,,,,,,,,,17902145.6,17854161.9,89.2,89,23672273.1,23596227.8,118,117.6,1052.6,5.2,17212.7,71.21
626-2,72A-1,2015,Yes,Child,"626-1, 626-7, 626-4, 626-2, 626-9, 626-8",637 Main St,"176 Washington St
Cambridge, MA
(42.36490728200005, -71.09666254999996)",Residential,Multifamily Housing,1938,275666,Cambridge Housing Authority,,54,1272448.9,4341596.1,213870.9831,21387098.3,,,,,,,,,,25728694.4,25683673.1,93.3,93.2,36089065,36041792.6,130.9,130.7,1556,5.6,25558.7,91.07
266-17,157-69,2015,Yes,Single,,1525-1587 Massachusetts Ave,"1805 Cambridge St
Cambridge, MA
(42.37561612700006, -71.11538181099996)",Nonresidential,College/University,1931,90341,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,615930.2,2101554,,,,,,,,,1015385.2,2775083.8,,5892023,5864469.7,65.2,64.9,10952804.6,10919656.8,121.2,120.9,441.1,4.9,1016.9,11.26
672-3,48-129,2015,Yes,Single,,40 Ames St,"25 Carleton St
Cambridge, MA
(42.36076427300003, -71.08639708399994)",Nonresidential,College/University,1982,101813,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1889376.5,6446553.4,58.50001,5850,,,,,,,20729255.2,5553292.5,,32734951.1,,321.5,,47658414.3,,468.1,,2085.2,20.5,3188.2,
668-31,52A-21,2015,Yes,Single,,33 Massachusetts Ave,"70-R Vassar St
Cambridge, MA
(42.361573304000046, -71.09190214099993)",Nonresidential,College/University,1928,63579,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,550730.9,1879094.1,8320.9999,832100,,,,,,,8863477.5,9951991.4,,21526663,,338.6,,27610192.6,,434.3,,1353.9,21.3,566.3,
59-36,268A-32,2015,Yes,Child,"59-16, 59-27, 59-25, 59-22, 59-19, 59-42 ,59-40, 59-39, 59-38, 59-37, 59-36, 59-31, 59-28",324 Rindge Ave,"76 Jackson Cir
Cambridge, MA
(42.39198309300008, -71.13591245299995)",Residential,Multifamily Housing,1952,207765,Cambridge Housing Authority,,63,1111397.9,3792090,125225.0028,12522500.3,,,,,,,,,93191,16632557.9,16594658.7,80.1,79.9,25373755.5,25334596.6,122.1,121.9,1062.8,5.1,16211.8,68.57
318-18,159-1,2015,Yes,Single,,1341 Massachusetts Ave,"16 Harvard Yard
Cambridge, MA
(42.37461217400005, -71.11866624799995)",Nonresidential,Office,1718,20315,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",75,106327.3,362788.9,1458.979064,145897.9,,,,,,,290886.2,881740.7,,1681313.7,1669731.6,82.8,82.2,2644006.5,2631747.9,130.2,129.5,116.7,5.7,236.5,
387-32,242-38,2015,Yes,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA
(42.37220282100003, -71.13761762899998)",Nonresidential,K-12 School,1926,143841,Shady Hill School,,,898460.8,3065548.8,43589.7132503,4358971.3,,,,,,,,,,7424520.1,7336892.4,51.6,51,14202743,14084892.4,98.7,97.9,528.1,3.7,1100.3,
387-25,242-38,2015,Yes,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA
(42.37220282100003, -71.13761762899998)",Nonresidential,K-12 School,1926,143841,Shady Hill School,,,898460.8,3065548.8,43589.7132503,4358971.3,,,,,,,,,,7424520.1,7336892.4,51.6,51,14202743,14084892.4,98.7,97.9,528.1,3.7,1100.3,
201-18,227-90,2015,Yes,Parent,"201-18, 201-13, 201-15, 201-12, 201-5",47 Concord Ave,"5 Bond St
Cambridge, MA
(42.38133594300007, -71.12638188399995)",Nonresidential,College/University,1960,80208,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1468699.2,5011202.4,74968.48556,7496848.6,,,,,,,,,,12508050.9,12425441.5,155.9,154.9,23606866.5,23520126.6,294.3,293.2,883,11,1141.6,
699-22,54-19,2015,Yes,Single,,270 Albany St,"280 Albany St
Cambridge, MA
(42.357793327000024, -71.10244764899994)",Nonresidential,Laboratory,1992,1656,BMR-270 Albany Street LLC,c/o Biomed Realty Trust,,37175,126841.1,1695.00003975,169500,,,,,,,,,,296341.1,287818.5,178.9,173.8,576256.1,567020.3,348,342.4,21.3,12.8,4.5,2.71
201-15,227-90,2015,Yes,Child,"201-18, 201-13, 201-15, 201-12, 201-5",47 Concord Ave,"60 Garden St
Cambridge, MA
(42.38177768000003, -71.12649377499997)",Nonresidential,College/University,1960,80208,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1468699.2,5011202.4,74968.48556,7496848.6,,,,,,,,,,12508050.9,12425441.5,155.9,154.9,23606866.5,23520126.6,294.3,293.2,883,11,1141.6,
280-7,217-18,2015,Yes,Child,"288-13, 280-4, 280-7, 288-2, 288-3, 288-8, 288-9, 288-10, 288-11, 288-12, 288-13, 288-14, 288-15",99 Brattle St,"7 St Johns Rd
Cambridge, MA
(42.37742790800007, -71.12557533499995)",Residential,College/University,1924,210512,Episcopal Divinity School,,,966800.9,3298724.9,58306.9965809,5830699.7,,,,,,,,,,9129424.6,9070319.9,43.4,43.1,16480231,16418171,78.3,78,628.8,3,2584.5,12.28
585-2,28-33,2015,Yes,Single,,265 Third Street,"195 Binney St
Cambridge, MA
(42.365906608000046, -71.08355784399998)",Residential,Multifamily Housing,1898,213000,Asn Worthington Place LLC,C/O Eqr- R.E. Tax Department,64,1686038.8,5752765,79420.01285,7942001.3,,,,,17250,,,,,13712016.3,,64.4,,26420206.1,,124,,979.7,4.6,6395,
274-35,252-160,2015,Yes,Single,,629 Mt Auburn St,"625 Mt Auburn St
Cambridge, MA
(42.37518689600006, -71.14664365099998)",Nonresidential,Office,1962,137421,Eos At 625 Mount Auburn LLC,C/O KBS Realty Advisors LLC,75,2439750.7,8324430.4,6361.386836,636138.7,,,,,,,,,,8960569.1,8960569.1,65.2,65.2,26806657.2,26806657.2,195.1,195.1,839.1,6.1,1359.3,9.89
288-13,217-18,2015,Yes,Parent,"288-13, 280-4, 280-7, 288-2, 288-3, 288-8, 288-9, 288-10, 288-11, 288-12, 288-13, 288-14, 288-15",99 Brattle St,"99-1 Brattle St
Cambridge, MA
(42.37624123000006, -71.12552270499998)",Residential,College/University,1924,210512,Episcopal Divinity School,,,966800.9,3298724.9,58306.9965809,5830699.7,,,,,,,,,,9129424.6,9070319.9,43.4,43.1,16480231,16418171,78.3,78,628.8,3,2584.5,12.28
668-57,52A-21,2015,Yes,Single,,33 Massachusetts Ave,"6 Vassar St
Cambridge, MA
(42.36248516100005, -71.09011718099998)",Nonresidential,College/University,1940,39121,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,646296,2205162.1,1177.00017,117700,,,,,,,,6125218.3,,8448080.4,,215.9,,14416683.3,,368.5,,626.3,16,357.6,
268-1,223-45,2016,Yes,Single,,141 Brattle St,"145 Brattle St
Cambridge, MA
(42.377645863000055, -71.13115824099998)",Nonresidential,Worship Facility,1961,25432,Diocese Of The Armenian Church,Of America,,,,,,,,,,,,,,,,,,,,,,,,,,
672-8,48-129,2015,Yes,Single,,40 Ames St,"45 Carleton St
Cambridge, MA
(42.36122465900007, -71.08632715199997)",Nonresidential,College/University,1982,156676,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,4408546.9,15041963.9,59.5000005,5950,,,,,,,20729255.2,26072183.6,,61849352.7,,394.8,,99333177.7,,634,,4279.1,27.3,6041.3,
417-3,37-126,2016,No,Single,,400 Cardinal Medeiros Ave,"400 Cardinal Medeiros Ave
Cambridge, MA
(42.37145221700007, -71.08879109099996)",Nonresidential,,,,Roman Catholic Archbishop Of Boston,Corporation Sole,,,,,,,,,,,,,,,,,,,,,,,,,,
241-28,144-1,2015,Yes,Single,,2 Oxford St,"7 Divinity Ave
Cambridge, MA
(42.37788558600005, -71.11430064799998)",Nonresidential,College/University,1826,30471,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,135448.6,462150.7,,,,,,,,,216048,1021719.2,,1699918,1669175,55.8,54.8,2896371.5,2862138,95.1,93.9,123.9,4.1,257.3,4.79
437-5,161-58,2015,Yes,Child,"437-10, 437-5, 437-6, 437-7",962 Memorial Dr,"32 Mill St
Cambridge, MA
(42.370456243000035, -71.11851130699995)",Residential,Residence Hall/Dormitory,1916,182097,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,617647,2107411.9,2804.492885,280449.3,,,,,,,,10191443,,12579304.2,12427076.7,69.1,68.2,19172469.9,18989386.5,105.3,104.3,895.5,4.9,3727.1,
267-35,255-100,2015,Yes,Child,"267-10, 267-13, 267-12, 267-56, 267-50, 267-44, 267-32, 267-37, 267-35, 267-30, 267-28, 267-27, 267-24, 267-17, 267-16, 267-14, 267-31, 267-21, 267-43, 267-34, 267-18, 267-19, 267-19, 267-15, 267-10",18 Cushing Court,"14-1 Corcoran Ln
Cambridge, MA
(42.37714745300008, -71.15422858499994)",Residential,Multifamily Housing,1953,200633,Cambridge Housing Authority,,65,683629.9,2332545.6,155696.00071,15569600.1,,,,,,,,,,17902145.6,17854161.9,89.2,89,23672273.1,23596227.8,118,117.6,1052.6,5.2,17212.7,71.21
669-6,70-34,2015,Yes,Single,,30 State St,"265 Massachusetts Ave
Cambridge, MA
(42.36189484000005, -71.09773539599996)",Nonresidential,College/University,1964,103874,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1266177.6,4320198.4,76952.9865,7695298.6,,,,,,,,,,12015497,,115.7,,21645486.6,,208.4,,826.7,8,325.4,
424-3,161-76,2015,Yes,Single,,18 Holyoke Pl,"10 Holyoke Pl
Cambridge, MA
(42.37143761500005, -71.11797810899998)",Residential,Residence Hall/Dormitory,1930,216722,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,970847.9,3312533.4,3637.999895,363800,,,,,,,,12869998.6,,16546331.9,,76.3,,26266482,,121.2,,1194.3,5.5,5897.6,
76-26,267F-301,2015,Yes,Single,,591 Concord Ave,"10 Fawcett St
Cambridge, MA
(42.38936180800005, -71.14596401599994)",Nonresidential,Office,1982,131526,"AG Fawcett, LLC",C/O Griffith Properties LLC,88,1906619.4,6505386.2,95.66423978,9566.4,,,,,,,,,,6505386.2,6339804.1,49.5,48.2,20426912.7,19906984.8,155.3,151.4,629.4,4.8,2656.4,20.2
345-7,169-102,2015,Yes,Single,,1416 Massachusetts Ave,"1414 Massachusetts Ave
Cambridge, MA
(42.37383184500004, -71.11891235599995)",Nonresidential,Office,1873,78220,"Wells Operating Partnership, L.P",C/O Thompson Property Tax Services,60,1248091.9,4258490.2,19244.80621,1924480.6,,,,,,,91672.9,,,6182970.8,6123341,79,78.3,15392363.8,15267099.2,196.8,195.2,514.2,6.6,342.7,4.38
595-3,122-184,2015,Yes,Child,"595-1, 595-4, 595-3, 595-2",Putnam Ave,"64 Magee St
Cambridge, MA
(42.36585841700003, -71.11166344899993)",Residential,Multifamily Housing,1954,126002,Cambridge Housing Authority,,34,619834,2114873.7,119783.9968,11978399.7,,,,,,,,,,14093273.4,13924535.1,111.8,110.5,19218023.1,19040847.8,152.5,151.1,840.8,6.7,8623.5,58.81
468-10,9-61,2015,Yes,Single,,25-27 Land Blvd,"25 Land Blvd
Cambridge, MA
(42.36679362800004, -71.10600609899996)",Nonresidential,Hotel,2003,153627,"Cambridge Hotel, LLC",C/O Marvin F. Poer & Company,23,2918732.6,9958717,148840.35835,14884035.8,,,,,,,,,,24842752.8,24741184.3,161.7,161,46898608.8,46618885.2,305.3,303.5,1754,11.4,7302.1,
324-3,111-60,2015,Yes,Single,,1493 Cambridge St,"1493 Cambridge St
Cambridge, MA
(42.374236677000056, -71.10447684299999)",Municipal,Hospital (General Medical & Surgical),1965,354313,City Of Cambridge,,29,9533589.7,32528612,714947.293,71494729.3,,,,,,,,,,104023341.3,103395324.3,293.6,291.8,177209307.4,176024629.5,500.1,496.8,6944.4,19.6,16764.5,
73-1,197-4,2015,Yes,Parent,"73-1, 73-2, 73-3",70 Rindge Avenue,"70 Rindge Avenue
Cambridge, MA
(42.392912024000054, -71.12892740999996)",Municipal,K-12 School,1999,128392,City Of Cambridge,,80,1016347.3,3467777.6,48090.839225,4809083.9,,,,,,,,,,8276861.5,8111945,64.5,63.2,15938359.7,15601711.9,124.1,121.5,590.9,4.6,57648.3,
137-2,176-13,2015,Yes,Child,"137-1, 137-2",2-6 Arlington St,"4 Arlington St
Cambridge, MA
(42.38648177400006, -71.11946793799996)",Residential,Multifamily Housing,1985,45876,"Liu, Hong",Trustees of Condominium Assn.,24,196259,669635.7,43244.00149,4324400.1,,,,,,,,,,4994035.8,4959768,108.9,108.1,6643276.2,6607295,144.8,144,294.5,6.4,2866,62.47
357-3,160-14,2015,Yes,Child,"357-2, 357-3",1336-1362 Massachusetts Ave,"11 Holyoke St
Cambridge, MA
(42.37252567400003, -71.11836068099996)",Nonresidential,Office,1964,198740,President And Fellows Of Harvard College,Harvard University R.E. Dept,99,1292418.9,4409733.9,34545.754588,3454575.5,,,,,,,2480674.1,,,10344983.4,10030579.1,52.1,50.6,19954542.7,19627039.2,100.6,98.9,740.8,3.7,,
749-2,64-6,2015,Yes,Single,,634 Memorial Dr,"640 Memorial Dr
Cambridge, MA
(42.353576117000046, -71.10877107299996)",Nonresidential,Laboratory,1916,225745,MIT 640 Memorial Spe LLC.,C/O MIT Investment Management Comp.,,7582318.5,25870873.8,395333.23984,39533324,,,,,,,,,,65404197.8,63405735.7,289.7,280.9,122744534,118280755.1,543.7,524,4602.7,20.4,2136.6,
636-8,129-11,2015,Yes,Child,"637-1, 637-8",237 Putnam Ave,"19 Blackstone St
Cambridge, MA
(42.362450514000045, -71.11447081499995)",Nonresidential,Manufacturing/Industrial Plant,2002,63090,President & Fellows Of Harvard College,C/O General Counsel Holyoke Center Rm 98,,1215945.3,4148805.8,,,,,,,,,,,,4148805.8,4060775.3,65.8,64.4,13027250.2,12750834.5,206.5,202.1,401.4,6.4,15073.2,
318-27,159-1,2015,Yes,Single,,1341 Massachusetts Ave,"11 Harvard Yard
Cambridge, MA
(42.37442999600006, -71.11871662899995)",Nonresidential,Office,1911,21330,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",70,112617.5,384251.1,1572.248065,157224.8,,,,,,,335857.1,740162.2,,1617495.2,1589309.6,75.8,74.5,2597937.1,2567419.9,121.8,120.4,112.4,5.3,209.5,9.82
662-10,69-110,2015,Yes,Child,"662-9, 662-10",282 Massachusetts Avenue,"290 Massachusetts Avenue
Cambridge, MA
(42.36201489000007, -71.09805591799994)",Nonresidential,College/University,1968,39470,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,211400,721296.9,27850.000049999999,2785000,,,,,,,,,,3506296.9,,88.8,,5189122.4000000004,,131.5,,217.7,5.5,1291.0999999999999,
674-3,48-123,2015,Yes,Single,,292 Main St,"292 Main St
Cambridge, MA
(42.36240184800005, -71.08599264399999)",Nonresidential,College/University,1968,66531,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,322100.9,1099008.4,527.00014,52700,,,,,,,2263404.1,1634586.1,,5049698.6,,75.9,,7736099.8,,116.3,,336.9,5.1,366.5,
245-66,257-47,2015,Yes,Child,"245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-34, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",676-694 Huron Ave,"42 Fresh Pond Pl
Cambridge, MA
(42.38029941900004, -71.15354860799994)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",Trustees of Condominium Assn.,100,87532,298659.4,4420.745982,442074.6,,,,,,,,,,740734,739664.1,12.8,12.8,1401968.7,1400392.5,24.2,24.2,52.4,0.9,87.5,
328-8,138-2,2015,Yes,Single,,449 Broadway,"449 Broadway
Cambridge, MA
(42.37323548400008, -71.11084065699998)",Municipal,Library,2009,120185,City Of Cambridge,,,1883244.7,6425631.7,73103.604,7310360.4,,,,,,,,,,13735992.1,13461336.4,133.7,131,27852361.9,27427013.5,271.1,266.9,1009.9,9.8,,
498-2,132-137,2015,Yes,Child,"438-2, 438-10, 498-2, 498-3, 498-6",18 Grant St,"40 Dewolfe St
Cambridge, MA
(42.36967244700003, -71.11689094299999)",Residential,Residence Hall/Dormitory,1926,210228,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,2021080.3,6895926.8,3841.00085,384100.1,,,,,,,,15409000.6,,22689027.4,,107.9,,40594176,,193.1,,1710.7,8.1,6093.6,
46-9,267.3-28,2015,Yes,Child,"46-3, 46-10, 46-9",89 Blanchard Rd,"87 Blanchard Rd
Cambridge, MA
(42.393814708000036, -71.15810027299995)",Residential,Multifamily Housing,1974,79000,"Di Giovanni, Vincent A.","Antonio Di Giovanni, Trs Of",,,,,,,,,,,,,,,,,,,,,,,,,,
73-2,197-4,2015,Yes,Child,"73-1, 73-2, 73-3",70 Rindge Avenue,"70 Rindge Avenue
Cambridge, MA
(42.392912024000054, -71.12892740999996)",Municipal,K-12 School,1999,128392,City Of Cambridge,,80,1016347.3,3467777.6,48090.839225,4809083.9,,,,,,,,,,8276861.5,8111945,64.5,63.2,15938359.7,15601711.9,124.1,121.5,590.9,4.6,57648.3,
355-11,168-36,2015,Yes,Single,,1 Brattle Sq,"1 Brattle Sq
Cambridge, MA
(42.37305482600004, -71.12121507299997)",Nonresidential,Office,1991,95366,"Wells Reit One Brattle Square I,LLC",C/O Thompson Property Tax Services,42,2334058.7,7963809.3,15386.9992,1538699.9,,,,,,,,,,9502509.3,9366275.6,99.6,98.2,26621996.2,26311813.8,279.2,275.9,852.2,8.9,2811.2,
328-10,138-33,2016,Yes,Child,"328-1, 328-10",445 Broadway,"445 Broadway
Cambridge, MA
(42.373110334000046, -71.11051009399995)",Municipal,K-12 School,2011,407835,City Of Cambridge,Library,,,,,,,,,,,,,,,,,,,,,,,,,,
241-45,144-1,2015,Yes,Parent,"241-45, 241-8, 241-4, 241-41",2 Oxford St,"21 Kirkland St
Cambridge, MA
(42.37649664700007, -71.11482678299996)",Nonresidential,Laboratory,1958,254734,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,6371752.9,21740423.6,,,,,,,,,23578011.4,19683290.8,,65001725.8,63949202.3,255.2,251,115522749.4,114430362.9,453.5,449.2,4652.8,18.3,3711.7,
695-5,68-74,2015,Yes,Single,,100 Landsdowne Street,"100 Landsdowne St
Cambridge, MA
(42.36009292500006, -71.10124947999998)",Residential,Multifamily Housing,2005,239086,Massachusetts Institute Of Technology,% Office Of The Treasurer,33,1925615.9,6570202.3,72297.13705,7229713.7,,,,,,,,,,13799916,13506631.4,57.7,56.5,28221634.5,27719821.7,118,115.9,1019.6,4.3,8541.6,35.73
559-3,17-84,2015,No,Single,,165 Second St,"222 Third St
Cambridge, MA
(42.366928690000066, -71.08166153499997)",Nonresidential,,,,American Twine Limited Partnership,C/O Transatlantic Investment Management,,,,,,,,,,,,,,,,,,,,,,,,,,
610-3,43A-28,2015,Yes,Single,,545 Technology Sq,"200 Technology Sq
Cambridge, MA
(42.36350592200006, -71.09120301099995)",Nonresidential,Office,1962,177161,"MIT Real Estate, LLC","C /O Are-Tech Sq, Llc/ MIT Real Estate",1,8899764.2,30365999.3,293091.4505,29309145,,,,,,,,,,59675144.3,59386385.9,336.8,335.2,126123840.1,125820643.8,711.9,710.2,4494.5,26.7,7523,
620-34,13-16,2015,Yes,Single,,239 First St,"245 First St
Cambridge, MA
(42.363537077000046, -71.07867658899994)",Nonresidential,Mixed Use Property,1984,312632,Jamestown Premier 245 First LLC,,41,6484102.2,22123759.4,240317.0292,24031702.9,,,,,,,,,,46155462.4,45512014,147.6,145.6,94701892.7,94026271.9,302.9,300.8,3416.8,10.9,7095.7,6.21
