Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommended Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Laundry,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Street Address
Salado At Walnut Creek,525921,08/15/2011 12:00:00 AM,36%,15%,16,Needed,1984,Yes,Electric,290,13.32,02/26/2016 12:00:00 AM,"2104 E Anderson La
Austin, TX 78752
(30.329329, -97.678415)"
Balcones Woods Apartments,262089,02/24/2011 12:00:00 AM,18%,10%,7,Needed,1982,Yes,Electric,384,13.24,02/26/2016 12:00:00 AM,"11215 Research Blvd
Austin, TX 78759
(30.40921, -97.744708)"
Madrid Apartments,282810,03/13/2014 12:00:00 AM,26%,15%,15,Complete,1968,Yes,Gas and Electric,37,6.22,02/26/2016 12:00:00 AM,"1202 Newning
Austin, TX 78704
(30.251146, -97.743739)"
Country Club Creek,445757,12/18/2012 12:00:00 AM,7.6%,15%,30,Needed,1997,Yes,Electric,26,9.5,02/26/2016 12:00:00 AM,"4400 SHERINGHAM DR
Austin, TX 78741
(30.230193, -97.722911)"
The Addington Arpartments,"285039, 285041",05/18/2011 12:00:00 AM,40%,15%,N\A,Complete,1972,No,Electric,84,12.24,02/26/2016 12:00:00 AM,"2510 Elmont Dr
Austin, TX 78741
(30.239097, -97.720186)"
Whisper Hollow Apartments,290117,03/09/2011 12:00:00 AM,8%,10%,11,Needed,1980,No,Electric,200,15.14,02/26/2016 12:00:00 AM,"3300 Parker Ln
Austin, TX 78741
(30.222542, -97.74215)"
Antilles,114302,01/07/2011 12:00:00 AM,8.4%,10%,N\A,Complete,1961,Yes,Electric,16,7.02,02/26/2016 12:00:00 AM,"2202 Enfield Rd
Austin, TX 78703
(30.287244, -97.766434)"
Barranca Square,206070,02/22/2011 12:00:00 AM,30%,10%,18,Needed,1969,Yes,Gas and Electric,20,7.33,02/26/2016 12:00:00 AM,"910 W 26th St
Austin, TX 78705
(30.290858, -97.74698)"
Circle S Apartments,554318,01/31/2013 12:00:00 AM,44%,10%,27,Needed,2003,Yes,Gas and Electric,200,8.15,02/26/2016 12:00:00 AM,"7201 S Congress
Austin, TX 78745
(30.187143, -97.78081)"
Baccarat Apartmetns,209053,02/11/2011 12:00:00 AM,8.3%,10%,30,Complete,1969,Yes,Gas and Electric,14,8.16,02/26/2016 12:00:00 AM,"3703 Harmon Ave
Austin, TX 78750
(30.294245, -97.72137)"
Keystone,203419,04/21/2011 12:00:00 AM,75%,15%,3,Needed,1948,No,Electric,10,14.84,02/26/2016 12:00:00 AM,"912 W 22nd half St
Austin, TX 78705
(30.285413, -97.747417)"
The Arboretum at Stonelake,461012,04/11/2011 12:00:00 AM,41%,15%,14,Needed,1994,No,Gas and Electric,204,10.1,02/26/2016 12:00:00 AM,"9801 Stonelake Blvd
Austin, TX 78759
(30.389436, -97.739129)"
South Creek Apartments,103566,06/14/2011 12:00:00 AM,26%,10%,14,Needed,1979,Yes,Electric,23,8.37,02/26/2016 12:00:00 AM,"1117 Hollow Creek
Austin, TX 78704
(30.261278, -97.772263)"
Delwood Apartments,216541,05/02/2011 12:00:00 AM,37%,10%,20,Needed,1979,Yes,Gas and Electric,20,8.1,02/26/2016 12:00:00 AM,"1400 E 51St
Austin, TX 78723
(30.306384, -97.70417)"
Chelsea Park,230069,05/23/2011 12:00:00 AM,27%,15%,3,Needed,1972,Yes,Electric,38,13.93,02/26/2016 12:00:00 AM,"6505 Shirley Ave
Austin, TX 78752
(30.33259, -97.720879)"
Georgetown Square,122190,04/06/2011 12:00:00 AM,40%,10%,N\A,Needed,1968,Yes,Gas and Electric,20,7.76,02/26/2016 12:00:00 AM,"4316 Bull Creek
Austin, TX 78731
(30.318163, -97.754934)"
Chateau Duval Apartments,208608,05/23/2011 12:00:00 AM,75%,15%,N\A,Complete,1966,Yes,Gas and Electric,22,10.43,02/26/2016 12:00:00 AM,"3106 Duval Street
Austin, TX 78705
(30.293363, -97.733216)"
Brentwood Townhomes,227758,03/30/2011 12:00:00 AM,,N\A,N\A,Needed,1966,Yes,Electric,48,10.29,02/26/2016 12:00:00 AM,"5506 Grover Ave
Austin, TX 78756
(30.325877, -97.732329)"
Shoal Bend Apts.,217592,05/11/2011 12:00:00 AM,28%,10%,13,Needed,1968,Yes,Gas and Electric,16,6.49,02/26/2016 12:00:00 AM,"3935 Shoal Creek Blvd
Austin, TX 78756
(30.310394, -97.748482)"
1500 Elton,114196,11/05/2012 12:00:00 AM,35%,10%,15,Needed,1964,No,Gas and Electric,14,11.4,02/26/2016 12:00:00 AM,"2400 ENFIELD RD
Austin, TX 78703
(30.288684, -97.768857)"
Zone at East End,287922,03/17/2011 12:00:00 AM,32%,15%,36,Needed,1995,No,Gas and Electric,252,11,02/26/2016 12:00:00 AM,"4700 E Riverside Dr
Austin, TX 78741
(30.232132, -97.719015)"
Bainbridge Villas Apartments,307720,05/06/2011 12:00:00 AM,25%,15%,7,Needed,1969,Yes,Gas and Electric,232,6.09,02/26/2016 12:00:00 AM,"3603 Southridge Dr
Austin, TX 78704
(30.233548, -97.777621)"
Hyde Park Plaza,217997,02/01/2011 12:00:00 AM,22%,10%,N\A,Needed,1971,Yes,Gas and Electric,40,8.8,02/26/2016 12:00:00 AM,"4400 Ave
B Austin, TX 78751
(30.30952, -97.73262)"
The Mcclintock,496069,05/12/2011 12:00:00 AM,29.2%,15%,20,Needed,1994,No,Gas and Electric,97,7.97,02/26/2016 12:00:00 AM,"6804 N Capital Of TX Hwy
Austin, TX 78731
(30.4077, -97.7464)"
Su Casa,214747,01/06/2011 12:00:00 AM,10.1%,10%,N\A,Complete,1970,Yes,Gas and Electric,37,8.87,02/26/2016 12:00:00 AM,"109 W 39th St
Austin, TX 78751
(30.302186, -97.733428)"
Duval Court Apts - South,218344,05/01/2011 12:00:00 AM,28%,10%,11,Needed,1971,Yes,Electric,20,6.96,02/26/2016 12:00:00 AM,"4510 Duval
Austin, TX 78751
(30.307367, -97.724366)"
5213 Joe Sayers,226372,04/07/2011 12:00:00 AM,28%,10%,12,Needed,1966,No,Electric,6,9.68,02/26/2016 12:00:00 AM,"5213 Joe
Sayers Austin, TX 78756
(30.323898, -97.737577)"
Austin Parke Apartments,236507,08/09/2011 12:00:00 AM,24%,10%,6,Needed,1969,No,Gas and Electric,240,7.71,02/26/2016 12:00:00 AM,"400 W Anderson Ln
Austin, TX 78752
(30.345956, -97.70798)"
Amli On 2Nd,741999,04/01/2015 12:00:00 AM,,N\A,N\A,Complete,2008,No,Electric,231,16.22,02/26/2016 12:00:00 AM,"421 W 3rd
Austin, TX 78701
(30.266297, -97.747522)"
Grover Gardens,228859,03/29/2011 12:00:00 AM,68%,15%,N\A,Needed,1972,Yes,Electric,28,3.43,02/26/2016 12:00:00 AM,"5600 Grover Avenue
Austin, TX 78756
(30.326819, -97.731732)"
Mesquite Tree Apartments,206179,03/28/2011 12:00:00 AM,31%,10%,9,Needed,1974,Yes,Electric,15,11.99,02/26/2016 12:00:00 AM,"2410 Longview St
Austin, TX 78705
(30.289211, -97.750758)"
Norwalk Condominiums,112858,05/09/2011 12:00:00 AM,22%,10%,5,Needed,1962,Yes,Gas and Electric,34,7.27,02/26/2016 12:00:00 AM,"1403 Norwalk Ln
Austin, TX 78703
(30.289304, -97.771962)"
The Timbers,225564,05/25/2011 12:00:00 AM,8%,10%,18,Complete,1997,Yes,Gas and Electric,105,9.48,02/26/2016 12:00:00 AM,"1034 Clayton Lane
Austin, TX 78723
(30.319154, -97.703544)"
,104244,04/28/2011 12:00:00 AM,43%,10%,9,Needed,1973,Yes,Electric,5,9.93,02/26/2016 12:00:00 AM,"1208 Hollow Creek Dr
Austin, TX 78704
(30.260348, -97.774312)"
La Paloma Apartments,228852,01/31/2011 12:00:00 AM,7.8%,10%,N\A,Needed,1968,Yes,Electric,18,15.93,02/26/2016 12:00:00 AM,"5515 Woodrow Ave
Austin, TX 78756
(30.327415, -97.733784)"
2103 MUROC,234725,08/01/2013 12:00:00 AM,45.6%,10%,6,Needed,1967,No,Gas and Electric,6,8.74,02/26/2016 12:00:00 AM,"2103 MUROC ST
Austin, TX 78757
(30.343836, -97.735178)"
Patton Apartments,225812,09/25/2013 12:00:00 AM,11.8%,15%,N\A,Needed,1973,Yes,Electric,32,14.57,02/26/2016 12:00:00 AM,"1708 Patton Ln
Austin, TX 78723
(30.318787, -97.688751)"
San Paloma Apartments,503554,12/20/2012 12:00:00 AM,49.1%,15%,19,Complete,2001,Yes,Gas and Electric,509,8.17,02/26/2016 12:00:00 AM,"12501 TECH RIDGE BLVD
Austin, TX 78753
(30.398696, -97.661716)"
Stoney Ridge Apartments,307416,06/22/2011 12:00:00 AM,34%,15%,12,Needed,1986,Yes,Electric,225,12.77,02/26/2016 12:00:00 AM,"3200 S 1st St
Austin, TX 78704
(30.233068, -97.765339)"
5219 Tahoe Trail,510233,01/31/2011 12:00:00 AM,4.6%,10%,N\A,Needed,1979,Yes,Electric,12,17.07,02/26/2016 12:00:00 AM,"5219 Tahoe Trail
Austin, TX 78745
(30.224465, -97.804065)"
709 W. 26th,206318,01/07/2011 12:00:00 AM,,N\A,N\A,Complete,1956,Yes,Gas and Electric,20,7.48,02/26/2016 12:00:00 AM,"709 W 26 ST
Austin, TX 78705
(30.290717, -97.745193)"
Nueces Oaks Condominiums,208175,04/14/2011 12:00:00 AM,21%,15%,18,Complete,1986,No,Electric,40,11.51,02/26/2016 12:00:00 AM,"2710 Nueces
Austin, TX 78705
(30.292497, -97.742728)"
San Marin,548479,11/08/2012 12:00:00 AM,37.2%,15%,16,Needed,1995,No,Gas and Electric,289,8.74,02/26/2016 12:00:00 AM,"3625 Duval Rd
Austin, TX 78759
(30.411726, -97.722309)"
The Rosewood,112445,02/01/2011 12:00:00 AM,,N\A,N\A,Needed,1972,No,Electric,8,9.15,02/26/2016 12:00:00 AM,"1011 W 23 ST
Austin, TX 78705
(30.287254, -97.748893)"
5512 Jim Hogg Avenue,229604,11/13/2012 12:00:00 AM,12%,10%,11,Needed,1969,Yes,Gas and Electric,10,10.06,02/26/2016 12:00:00 AM,"5512 JIM HOGG AVE
Austin, TX 78756
(30.328761, -97.736058)"
Bristol Square,287641,03/16/2011 12:00:00 AM,20%,15%,21,Needed,1987,No,Electric,336,12.6,02/26/2016 12:00:00 AM,"2336 Douglas St
Austin, TX 78741
(30.22822, -97.732706)"
Davis Square Apartments,230011,05/24/2011 12:00:00 AM,24%,10%,19,Complete,1985,No,Electric,16,8.7,02/26/2016 12:00:00 AM,"903 Romeria Dr
Austin, TX 78752
(30.330667, -97.724891)"
Balcones Club Apartments,174383,04/28/2011 12:00:00 AM,36%,10%,12,Complete,1983,No,Electric,313,14.29,02/26/2016 12:00:00 AM,"9218 Balcones Club Dr
Austin, TX 78750
(30.443276, -97.787577)"
Town Lake Student Apartments,285047,01/11/2013 12:00:00 AM,11%,15%,30,Needed,2003,No,Gas and Electric,216,9.6,02/26/2016 12:00:00 AM,"1109 S Pleasant Valley
Austin, TX 78741
(30.242081, -97.717484)"
Dos Rios,208298,03/23/2011 12:00:00 AM,27%,15%,N\A,Needed,1984,No,Electric,32,12.24,02/26/2016 12:00:00 AM,"2818 Nueces
Austin, TX 78705
(30.294412, -97.742517)"
Santa Maria Village,239650,04/20/2011 12:00:00 AM,6.6%,15%,30,Needed,1968,Yes,Gas and Electric,176,11.88,02/26/2016 12:00:00 AM,"8071 N Lamar Blvd
Austin, TX 78753
(30.348122, -97.711723)"
906 West 22 nd,203523,04/18/2011 12:00:00 AM,30%,10%,12,Complete,1903,No,Gas and Electric,9,10.9,02/26/2016 12:00:00 AM,"906 West 22nd
Austin, TX 78705
(30.285396, -97.747236)"
The Oaks,303880,05/16/2011 12:00:00 AM,52%,10%,N\A,Needed,1963,Yes,Electric,28,9.59,02/26/2016 12:00:00 AM,"2311 S 5th Street
Austin, TX 78704
(30.244077, -97.76428)"
High Oaks Apartments,156274,04/06/2011 12:00:00 AM,46%,15%,12,Needed,1983,Yes,Electric,225,15.82,02/26/2016 12:00:00 AM,"11028 Jollyville Rd
Austin, TX 78759
(30.405455, -97.747725)"
Mesh II,285470,06/02/2011 12:00:00 AM,22%,15%,10,Complete,1984,No,Electric,102,9.2,02/26/2016 12:00:00 AM,"2215 Town Lake Cir
Austin, TX 78741
(30.240601, -97.724701)"
2503 BRIDLE PATH,114187,11/16/2012 12:00:00 AM,28.4%,10%,22,Needed,1948,Yes,Gas and Electric,6,5.37,02/26/2016 12:00:00 AM,"2503 BRIDLE PATH
Austin, TX 78703
(30.290459, -97.76927)"
Metropolitan Apartments,285500,10/30/2012 12:00:00 AM,75%,10%,N\A,Complete,1959,Yes,Gas and Electric,26,13.55,02/26/2016 12:00:00 AM,"2423 Town Lake Circle
Austin, TX 78741
(30.239421, -97.722192)"
,214686,11/05/2015 12:00:00 AM,44%,10%,N\A,Complete,1967,No,Gas and Electric,14,7.18,02/26/2016 12:00:00 AM,"3912 AVENUE
C Austin, TX 78751
(30.30115, -97.72951)"
Mason Manor Apartments,196142,05/20/2011 12:00:00 AM,34%,15%,30,Complete,1966,Yes,Electric,140,8.99,02/26/2016 12:00:00 AM,"1137 Gunter
Austin, TX 78721
(30.270081, -97.696493)"
4th Street Apartments,303645,02/01/2011 12:00:00 AM,16%,10%,13,Complete,1996,Yes,Electric,11,7.62,02/26/2016 12:00:00 AM,"2402 S 4th St
Austin, TX 78704
(30.243177, -97.763216)"
2705 Windswept West,509357,02/04/2011 12:00:00 AM,35%,10%,12,Complete,1971,No,Gas and Electric,6,10.31,02/26/2016 12:00:00 AM,"2705 Windswept Cove
Austin, TX 78745
(30.229679, -97.801717)"
2107 MUROC,234723,08/01/2013 12:00:00 AM,45.6%,10%,6,Needed,1967,No,Gas and Electric,4,10.92,02/26/2016 12:00:00 AM,"2107 MUROC ST
Austin, TX 78757
(30.343943, -97.735477)"
The Villages at 47th,216423,01/15/2013 12:00:00 AM,9.2%,10%,9,Complete,1967,Yes,Electric,44,3.94,02/26/2016 12:00:00 AM,"927 E 46 ST
Austin, TX 78751
(30.305035, -97.716333)"
Adela Apartments,193469,05/05/2011 12:00:00 AM,9%,10%,42,Needed,1987,Yes,Electric,12,11.97,02/26/2016 12:00:00 AM,"2306 E 8th
Austin, TX 78702
(30.263224, -97.715896)"
MEADOW BREEZE APARTMENTS,238191,01/24/2014 12:00:00 AM,64.3%,15%,N\A,Needed,1972,Yes,Gas and Electric,24,9.21,02/26/2016 12:00:00 AM,"408 E WONSLEY DR
Austin, TX 78753
(30.344619, -97.700986)"
Chelsea Palms,230019,02/01/2012 12:00:00 AM,,N\A,N\A,Needed,1971,No,Gas and Electric,36,10.34,02/26/2016 12:00:00 AM,"902 Romeria
Austin, TX 78757
(30.330633, -97.724823)"
Mark Embers,210207,01/06/2011 12:00:00 AM,8.8%,10%,N\A,Complete,1964,No,Gas and Electric,12,7.82,02/26/2016 12:00:00 AM,"3106 Speedway
Austin, TX 78705
(30.295591, -97.736685)"
Mesa Verde,504110,02/11/2011 12:00:00 AM,18%,10%,18,Complete,1993,No,Electric,357,10.4,02/26/2016 12:00:00 AM,"3201 Duval Rd
Austin, TX 78759
(30.409785, -97.7164)"
Barclay Apartments,226624,05/05/2011 12:00:00 AM,20%,15%,28,Needed,1973,Yes,Electric,38,5.25,02/26/2016 12:00:00 AM,"615 Nelray Blvd
Austin, TX 78751
(30.322228, -97.726867)"
Sycamore Springs,R359319,05/19/2011 12:00:00 AM,52%,15%,30,Complete,1997,No,Gas and Electric,518,6.89,02/26/2016 12:00:00 AM,"9801 Parmer Lane
Austin, TX 78717
(30.486073, -97.770665)"
8905 Parkfield,246497,05/16/2011 12:00:00 AM,22%,10%,9,Needed,1972,No,Gas and Electric,8,14.54,02/26/2016 12:00:00 AM,"8905 Parkfield Dr
Austin, TX 78758
(30.362638, -97.709153)"
Rundberg West,250393,05/17/2011 12:00:00 AM,30%,15%,13,Needed,1983,Yes,Electric,72,13.47,02/26/2016 12:00:00 AM,"1809 W Rundberg
Austin, TX 78758
(30.371357, -97.714419)"
4307 CASWELL,214988,12/20/2012 12:00:00 AM,22%,10%,10,Complete,1967,No,Gas and Electric,7,6.15,02/26/2016 12:00:00 AM,"4307 CASWELL AVE
Austin, TX 78751
(30.303454, -97.722244)"
Avesta Capella Apartments,242085,05/30/2011 12:00:00 AM,8.5%,10%,14,Complete,1981,Yes,Electric,336,13.63,02/26/2016 12:00:00 AM,"8900 N Ih
Austin, TX 78753
(30.353027, -97.691718)"
606 ELMWOOD,208661,12/13/2012 12:00:00 AM,5%,10%,38,Complete,1959,Yes,Gas and Electric,10,8.05,02/26/2016 12:00:00 AM,"606 ELMWOOD PL
Austin, TX 78705
(30.290404, -97.73305)"
Frost Villa Apartments,244603,11/16/2010 12:00:00 AM,29%,10%,N\A,Needed,1970,Yes,Gas and Electric,20,10.34,02/26/2016 12:00:00 AM,"8501 Dryfield Dr
Austin, TX 78752
(30.359178, -97.714998)"
Cliffs At Barton Creek,366036,04/26/2011 12:00:00 AM,11.1%,15%,12,Needed,1994,Yes,Gas and Electric,210,7.91,02/26/2016 12:00:00 AM,"3050 Tamarron Blvd
Austin, TX 78746
(30.258389, -97.802544)"
French Place,205230,12/03/2010 12:00:00 AM,21%,15%,22,Needed,1972,Yes,Electric,21,7.74,02/26/2016 12:00:00 AM,"2704 French Place
Austin, TX 78722
(30.284353, -97.720775)"
Tanglewood West Condominiums,112830,05/09/2011 12:00:00 AM,35%,10%,10,Needed,1963,Yes,Gas and Electric,27,7.64,02/26/2016 12:00:00 AM,"1307 Norwalk
Austin, TX 78703
(30.28841, -97.772511)"
1717 Enfield Apartments,110361,11/05/2012 12:00:00 AM,12%,15%,12,Needed,1973,Yes,Electric,16,11.06,02/26/2016 12:00:00 AM,"1717 Enfield Road
Austin, TX 78703
(30.284459, -97.76161)"
Northridge Terrace Apartments,234721,08/01/2013 12:00:00 AM,45.6%,10%,6,Needed,1967,No,Gas and Electric,6,5.65,02/26/2016 12:00:00 AM,"2201 Muroc St
Austin, TX 78757
(30.344251, -97.736084)"
Tintara at Canyon Creek,497787,03/24/2011 12:00:00 AM,50%,15%,27,Complete,2000,No,Gas and Electric,550,8.29,02/26/2016 12:00:00 AM,"7655 North FM
Austin, TX 78726
(30.45313, -97.8277)"
4010 Speedway,214764,05/20/2011 12:00:00 AM,14%,10%,17,Needed,1946,No,Electric,9,4.85,02/26/2016 12:00:00 AM,"4010 Speedway
Austin, TX 78751
(30.303894, -97.731444)"
Stonewood Village,221352,01/20/2011 12:00:00 AM,8%,10%,N\A,Needed,1971,Yes,Electric,58,14.23,02/26/2016 12:00:00 AM,"4558 Avenue
A Austin, TX 78751
(30.31219, -97.73091)"
Shadow Oaks,167283,03/15/2013 12:00:00 AM,31%,15%,11,Needed,1985,Yes,Electric,176,13.51,02/26/2016 12:00:00 AM,"12148 Jollyville Rd
Austin, TX 78759
(30.43003, -97.764201)"
South Congress Commons,309755,05/16/2011 12:00:00 AM,59%,10%,N\A,Complete,1978,Yes,Electric,20,11.02,02/26/2016 12:00:00 AM,"116 W ALPINE RD
Austin, TX 78704
(30.228211, -97.761496)"
Winhurst Apartments,255046,04/27/2011 12:00:00 AM,75%,15%,N\A,Needed,1983,Yes,Electric,16,13.16,02/26/2016 12:00:00 AM,"9079 Jollyville Road
Austin, TX 78759
(30.381507, -97.743304)"
Skansen Apartments,215807,04/01/2011 12:00:00 AM,6.8%,10%,N\A,Complete,1975,Yes,Electric,30,15.73,02/26/2016 12:00:00 AM,"4205 Speedway
Austin, TX 78751
(30.305729, -97.730266)"
Trio,289156,05/04/2011 12:00:00 AM,9%,10%,19,Complete,1985,Yes,Electric,176,12.55,02/26/2016 12:00:00 AM,"2317 Pleasant Valley
Austin, TX 78741
(30.229434, -97.726456)"
Plum Tree Apartments,303241,03/10/2010 12:00:00 AM,32%,15%,N\A,Needed,1979,Yes,Electric,12,14.56,02/26/2016 12:00:00 AM,"2110 Kinney Avenue
Austin, TX 78704
(30.24878, -97.770444)"
"901, 903 SPRINGDALE",192538,11/14/2012 12:00:00 AM,,N\A,N\A,Needed,1965,No,Electric,8,11.69,02/26/2016 12:00:00 AM,"901 Springdale Rd
Austin, TX 78702
(30.260678, -97.69869)"
Shoal Creek Arms,251476,01/17/2014 12:00:00 AM,60%,15%,38,Complete,1972,No,Gas and Electric,20,6.58,02/26/2016 12:00:00 AM,"8525 SHOAL CREEK BLVD
Austin, TX 78757
(30.37116, -97.737547)"
Fair Oaks Apartments,437839,03/01/2011 12:00:00 AM,62%,15%,13,Needed,1956,Yes,Electric,11,8.55,02/26/2016 12:00:00 AM,"3506 ENFIELD
Austin, TX 78703
(30.294625, -97.780589)"
The Tuscany,109019,11/11/2011 12:00:00 AM,62%,10%,9,Needed,1984,Yes,Electric,49,15.13,02/26/2016 12:00:00 AM,"1512 W 13 ST
Austin, TX 78703
(30.280979, -97.758131)"
Redwood North,221747,05/23/2011 12:00:00 AM,35%,10%,N\A,Needed,1971,Yes,Electric,16,10.54,02/26/2016 12:00:00 AM,"5101 Evans
Austin, TX 78751
(30.31391, -97.718951)"
Club At Summer Valley,332560,09/15/2010 12:00:00 AM,18%,15%,18,Complete,1983,Yes,Electric,260,10.37,02/26/2016 12:00:00 AM,"744 William
Cannon Austin, TX 78745
(30.197968, -97.789529)"
Central Park Ii,230008,05/10/2011 12:00:00 AM,11%,15%,N\A,Complete,1974,Yes,Electric,47,15.93,02/26/2016 12:00:00 AM,"6010 N Lamar
Austin, TX 78752
(30.329007, -97.72441)"
The Grove,776308,05/16/2011 12:00:00 AM,60%,10%,8,Needed,1973,Yes,Electric,186,9.88,02/26/2016 12:00:00 AM,"3707 Manchaca
Austin, TX 78704
(30.236497, -97.784078)"
Turnberry Apts. - Bldg D,211831,05/01/2011 12:00:00 AM,63%,10%,N\A,Needed,1966,Yes,Electric,20,6.34,02/26/2016 12:00:00 AM,"918 E 40th St
Austin, TX 78751
(30.297973, -97.721404)"
San Marin,548476,11/08/2012 12:00:00 AM,37.2%,15%,16,Needed,1995,No,Gas and Electric,170,9.13,02/26/2016 12:00:00 AM,"4101 DUVAL RD
Austin, TX 78759
(30.411716, -97.727137)"
300-302 E. 33rd,211486,05/31/2011 12:00:00 AM,,N\A,19,Needed,1949,Yes,Electric,8,4.58,02/26/2016 12:00:00 AM,"300 E 33rd
Austin, TX 78705
(30.296565, -97.733953)"
2105 MUROC,234724,08/01/2013 12:00:00 AM,45.6%,10%,6,Needed,1967,No,Gas and Electric,4,12.52,02/26/2016 12:00:00 AM,"2105 MUROC ST
Austin, TX 78757
(30.344046, -97.735004)"
The Regency,196698,09/28/2010 12:00:00 AM,,N\A,N\A,Needed,1959,Yes,Electric,30,7.32,02/26/2016 12:00:00 AM,"601 West 11th St
Austin, TX 78701
(30.274451, -97.747226)"
Oakplace Apartments,212577,03/24/2011 12:00:00 AM,30%,10%,N\A,Needed,1979,Yes,Electric,9,12.5,02/26/2016 12:00:00 AM,"621 W 37th St
Austin, TX 78705
(30.30273, -97.740145)"
Twelve Oaks Apartments,214670,05/01/2011 12:00:00 AM,75%,10%,11,Needed,1974,Yes,Electric,29,12.88,02/26/2016 12:00:00 AM,"301 W 39Th St
Austin, TX 78705
(30.302908, -97.734825)"
A Country Place Apartments,249160,06/17/2011 12:00:00 AM,34%,15%,13,Needed,1985,Yes,Electric,180,13.33,02/26/2016 12:00:00 AM,"9971 Quail Blvd
Austin, TX 78758
(30.370057, -97.700087)"
Hampton Park Apartments,305874,02/17/2011 12:00:00 AM,31%,10%,22,Needed,1985,No,Electric,20,11.67,02/26/2016 12:00:00 AM,"3604 Clawson Rd
Austin, TX 78704
(30.234623, -97.779887)"
Terrace Cove Apartments,335761,09/09/2010 12:00:00 AM,26%,15%,22,Complete,1986,Yes,Electric,304,14.2,02/26/2016 12:00:00 AM,"6201 Sneed Cove
Austin, TX 78744
(30.194171, -97.764034)"
Canyon Villa,229274,05/21/2011 12:00:00 AM,56%,15%,15,Complete,1971,Yes,Electric,100,9.68,02/26/2016 12:00:00 AM,"1212 Westheimer
Austin, TX 78752
(30.32562, -97.694628)"
Turnberry Apts - Building E,211828,05/01/2011 12:00:00 AM,56%,10%,11,Needed,1966,Yes,Electric,21,5.88,02/26/2016 12:00:00 AM,"920 E 40th St
Austin, TX 78751
(30.297818, -97.721074)"
Studio 45 Apartments,220076,04/29/2011 12:00:00 AM,75%,15%,N\A,Complete,1972,Yes,Electric,23,16.14,02/26/2016 12:00:00 AM,"4504 Speedway
Austin, TX 78751
(30.308937, -97.728239)"
Serenada Apartments,223402,12/04/2012 12:00:00 AM,27%,10%,22,Needed,1967,Yes,Electric,28,9.92,02/26/2016 12:00:00 AM,"6509 Berkman Dr
Austin, TX 78723
(30.318544, -97.689835)"
Elm Tree,229679,06/28/2011 12:00:00 AM,,N\A,4,Needed,1968,Yes,Electric,14,8.17,02/26/2016 12:00:00 AM,"5402 Jeff Davis Ave
Austin, TX 78741
(30.32743, -97.738448)"
The Ridge Apartments,133197,11/17/2010 12:00:00 AM,59%,15%,10,Complete,1978,Yes,Electric,326,11.31,02/26/2016 12:00:00 AM,"6805 Wood Hollow
Austin, TX 78731
(30.350586, -97.754833)"
Parkside Apartments,104252,09/13/2013 12:00:00 AM,6.6%,10%,22,Needed,1985,Yes,Gas and Electric,42,8.77,02/26/2016 12:00:00 AM,"1221 Barton Hills Drive
Austin, TX 78704
(30.261629, -97.773984)"
The Gardens,284935,03/14/2011 12:00:00 AM,11.4%,10%,N\A,Needed,1963,Yes,Electric,40,8.43,02/26/2016 12:00:00 AM,"1505 Sunnyvale Street
Austin, TX 78741
(30.24404, -97.734374)"
Riata Wood Trail,444092,12/06/2010 12:00:00 AM,60%,15%,30,Needed,1999,Yes,Gas and Electric,479,7.21,02/26/2016 12:00:00 AM,"5700 Tapadera Trace Lane
Austin, TX 78727
(30.430063, -97.742083)"
105 E 31 ST,210426,11/09/2012 12:00:00 AM,26%,10%,12,Needed,1972,Yes,Gas and Electric,14,6.39,02/26/2016 12:00:00 AM,"105 E 31 ST
Austin, TX 78705
(30.294805, -97.736317)"
505 West 18th Street Apartments,199772,04/27/2011 12:00:00 AM,19%,10%,N\A,Needed,1983,Yes,Electric,10,11.28,02/26/2016 12:00:00 AM,"505 West 18th Street
Austin, TX 78701
(30.281027, -97.743498)"
Sandstone Apts,204047,05/25/2011 12:00:00 AM,31%,10%,15,Needed,1985,No,Electric,46,16.1,02/26/2016 12:00:00 AM,"2501 MANOR RD
Austin, TX 78722
(30.284776, -97.716103)"
The Hendrix,"R039798, R039535, R039648, R351319, R039681",03/16/2011 12:00:00 AM,9.6%,10%,30,Complete,1984,Yes,Electric,516,8.2,02/26/2016 12:00:00 AM,"9811 Copper Creek
Austin, TX 78729
(30.458106, -97.788127)"
Park Terrace at Town Lake,101903,10/31/2012 12:00:00 AM,32%,15%,N\A,Complete,1964,Yes,Electric,65,6.51,02/26/2016 12:00:00 AM,"514 Dawson Road
Austin, TX 78704
(30.259339, -97.75617)"
Sao Paulo Apartments,199657,06/01/2011 12:00:00 AM,50%,10%,N\A,Needed,1963,Yes,Gas and Electric,14,7.7,02/26/2016 12:00:00 AM,"1218 Baylor St
Austin, TX 78703
(30.278545, -97.751752)"
Montano Properties,237966,10/31/2012 12:00:00 AM,,N\A,N\A,Complete,1956,Yes,Gas and Electric,8,10.66,02/26/2016 12:00:00 AM,"619 W POWELL LN
Austin, TX 78753
(30.350024, -97.707489)"
The Village At North Lamar,230071,05/23/2011 12:00:00 AM,27%,15%,3,Needed,1972,No,Electric,48,10.2,02/26/2016 12:00:00 AM,"6309 Burns
Austin, TX 78752
(30.330891, -97.721442)"
