Portfolio Manager ID,Property Name,Postal Code,Primary Property Type - EPA Calculated,Property Floor Area (Buildings and Parking) (ft²),Year Built,Number of Buildings,Philadelphia Building ID,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Natural Gas Use (kBtu),Fuel Oil #2 Use (kBtu),District Steam Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft2),Source EUI (kBtu/ft2),Water Use (All Water Sources) (kgal),Total GHG Emissions (MtCO2e),Notes,geom
3330853,Daroff,19139,K-12 School,85080,1972,1,783541800,2580641.6,3357270.2,296976,Not Available,64,73.3,140.2,1241.8,527,,"5630 VINE ST
Philadelphia, Pennsylvania
(39.965653444000054, -75.23255326999998)"
3663256,30 South 15th Associates,19102,Office,241854,1985,1,883048700,15995060.2,6393160.1,Not Available,Not Available,64,92.6,235.4,Not Available,2364.9,,"30 South 15th Street
Philadelphia, Pennsylvania
(39.95244371200005, -75.16526802299995)"
3578915,21 S. 12th St.,19107,Office,105890,1896,1,883017910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2349.3,0,,"21 S. 12th St.
Philadelphia, Pennsylvania
(39.95146221300007, -75.15993886299998)"
3884250,Bala Nursing & Rehabilitation Center,19131,Senior Care Community,44101,1988,1,881446500,3839974,43002.5,Not Available,Not Available,Not Available,88,274.4,77.1,488.6,,"4001 Ford Rd.
Philadelphia, Pennsylvania
(39.99970559700006, -75.20977925899996)"
3619714,Girard Square (South),19107,Office,269726,1896,2,882495700,13320526.5,Not Available,Not Available,15549965.8,Not Available,107,224.4,4250.8,3063.6,,"1101-1153 Chestnut St. and 21 S. 12th St.
Philadelphia, Pennsylvania
(39.95025149200006, -75.15873086299996)"
3773979,West Catholic,19139,K-12 School,156425,1926,3,774569000,2008914.6,5843909.3,Not Available,Not Available,93,50.2,79.6,858.5,564.5,,"4501 Chestnut St.
Philadelphia, Pennsylvania
(39.95687744800006, -75.21206722799997)"
3883003,Stephen Pang,19107,Parking,108108,1985,1,883430000,3037402.7,2646885.5,Not Available,Not Available,Not Available,52.6,113.9,2995.4,525.1,,"1030-38 Race Street
Philadelphia, Pennsylvania
(39.95543405300003, -75.15642418499993)"
2474727,PA0000AT - WISSAHICKON FED BLDG,19144,Office,449021,1998,1,784484000,50044981.1,4684325.1,117162,Not Available,34,122.1,352.3,12360.2,6594.8,,"5000 WISSAHICKON AVE
Philadelphia, Pennsylvania
(40.01845099700006, -75.17332401399995)"
3858184,Norwood-Fontbonne Academy,19118,K-12 School,86394,1920,7,775537000,1331872.5,2032834.8,Not Available,Not Available,84,38.9,73.1,2766.4,276.6,,"201 Sunset Ave
Philadelphia, Pennsylvania
(40.062057483000046, -75.24023924899996)"
3762535,13-Nesbitt,19104,College/University,89077,1970,1,774528000,4961658.7,3467.2,Not Available,5111395.2,Not Available,113.1,244,3502.6,1081.1,,"3201-47 Market Street
Philadelphia, Pennsylvania
(39.95551486100004, -75.18837765799998)"
3789968,"Measy Clyde & Etal, Paul Shcaly",19114,Other,139425,1951,1,884259100,1741795.3,Not Available,8901966.3,Not Available,Not Available,76.3,103.7,151.2,881.2,,"9119 Frankford Ave
Philadelphia, Pennsylvania
(40.053204082000036, -75.00678173599994)"
3637517,TL Tan LLC,19134,Non-Refrigerated Warehouse,189000,1940,2,884043500,522492.2,165619.3,Not Available,Not Available,Not Available,3.6,9.6,328.3,75,,"3621 B Street
Philadelphia, Pennsylvania
(40.00428172900007, -75.12400740099997)"
3330974,Meehan,19152,K-12 School,204093,1973,1,786482200,4759030.3,3433386.9,Not Available,Not Available,79,40.1,90.9,2672.4,784.9,,"3001 RYAN AVE
Philadelphia, Pennsylvania
(40.045808254000065, -75.04526521699995)"
3600823,Wilson W,19111,K-12 School,139500,1928,1,786082400,1732223.6,419550.4,1034999.9,Not Available,98,22.8,49.6,736.4,318.5,,"1800 COTTMAN AVE
Philadelphia, Pennsylvania
(40.053257623000036, -75.06964554299998)"
4177138,HADCO METAL,19154,Manufacturing/Industrial Plant,81000,1968,1,884291000,3429145.3,Not Available,Not Available,Not Available,Not Available,42.3,132.9,346.6,459,,"2811 charter road
Philadelphia, Pennsylvania
(40.095322956000075, -75.00409073099996)"
3694570,Courtland Shop,19140,Other - Public Services,53000,1952,1,884351660,276453.9,10030299.1,Not Available,Not Available,Not Available,194.5,215.1,504.9,567.3,,"4529 North 3rd Street
Philadelphia, Pennsylvania
(40.02010171100005, -75.13112176799996)"
3330911,Hunter,19133,K-12 School,98500,2004,1,786154910,4304091.3,4453760.2,Not Available,Not Available,22,88.9,184.7,3329.7,781.5,,"2400-54 N FRONT ST
Philadelphia, Pennsylvania
(39.986383647000025, -75.13185703299996)"
3983813,WEISS,19122,College/University,159000,2000,1,777568900,4553897.5,1854,Not Available,14327999.9,Not Available,199,278.6,3785.4,2518,,"1701 N. 13TH
Philadelphia, Pennsylvania
(39.97845760600006, -75.15566522499995)"
4057814,"Quaker Valley Foods, Inc.",19114,Food Service,250000,1974,1,884288000,39122640.3,1177676.8,Not Available,Not Available,Not Available,161.2,496.3,3161.3,5016.9,,"2701 Red Lion Road
Philadelphia, Pennsylvania
(39.93569735600005, -75.18926702799996)"
3856018,"5,6,12,53,58-Quad Buildings",19104,College/University,404816,1898,5,774518010,34865658.5,213056.3,Not Available,23336646.7,Not Available,144.3,340.3,6480.7,6492.8,,"3201 Chestnut Street
Philadelphia, Pennsylvania
(39.953888429000074, -75.18778634599994)"
2705476,Callowhill Depot,19151,Other - Public Services,213000,1913,1,884340559,9437660.2,21560963.8,Not Available,Not Available,Not Available,145.5,245.4,4158.4,2339.5,,"5900 Callowhill Street
Philadelphia, Pennsylvania
(39.96782979500006, -75.23761966999996)"
3790349,Bellet,19102,Office,129532,1960,1,772027000,6923807.8,394958.6,Not Available,3767902.3,64,85.6,206,2735.1,1231.4,,"1501 Race Street
Philadelphia, Pennsylvania
(39.95648797700005, -75.16456786699996)"
3966490,Hope Plaza,19132,Strip Mall,115000,1986,7,882042235,9897417,Not Available,Not Available,Not Available,Not Available,86.1,270.2,Not Available,1253.4,,"2101-49 West Lehigh Ave
Philadelphia, Pennsylvania
(39.99547337900003, -75.16605791499995)"
4096892,CSE Centennial Village,19104,Senior Care Community,75972,1978,1,881437000,5256128,1660584.5,Not Available,Not Available,36,91,240.2,5664.2,753.7,,"4400 West Girard Ave
Philadelphia, Pennsylvania
(39.97316666200004, -75.21232173499999)"
3965856,BEURY,19122,College/University,174700,2000,1,777570400,11900953.6,22828.5,Not Available,18912958.8,Not Available,311,478.8,2918,4421.2,,"1901 N. 13TH
Philadelphia, Pennsylvania
(39.98150286300006, -75.15499586199996)"
3330813,Masterman,19130,K-12 School,105000,1933,1,782513600,1635442.2,189472.1,Not Available,8721524,36,100.4,150.7,570.2,989.4,,"1699 SPRING GARDEN ST
Philadelphia, Pennsylvania
(39.963057011000046, -75.16612852399999)"
3971353,Magee Rehabilitation Hospital,19102,Other - Specialty Hospital,146912,1981,1,772046000,11934408.3,6316466.3,Not Available,Not Available,Not Available,124.2,300.2,6201.4,1846.5,,"1513 Race St
Philadelphia, Pennsylvania
(39.956551543000046, -75.16508833099994)"
3773891,Esperanza Academy,19140,K-12 School,71440,1930,1,777577905,5873007.4,1545179.8,Not Available,Not Available,13,103.8,280.8,482.9,825.7,,"301 W Hunting Park Ave
Philadelphia, Pennsylvania
(40.01474564400007, -75.13243753099994)"
3330857,Heston,19131,K-12 School,81640,1971,1,783257800,2430318.8,3737475,Not Available,Not Available,28,75.5,141.5,1646.8,506.2,,"1621 N 54TH ST
Philadelphia, Pennsylvania
(39.93810332100003, -75.22100086899997)"
3330922,Fitler,19144,K-12 School,38000,1899,1,785435800,774192.7,50752.5,3176025.6,Not Available,13,105.3,149.8,281.4,336.4,,"140 WEST SEYMOUR ST
Philadelphia, Pennsylvania
(40.026308189000076, -75.16662008099996)"
3325356,3600 Market St,19104,Office,189262,1930,1,Many,15044637.4,384491,Not Available,Not Available,Not Available,81.5,251.7,3229.2,1925.6,,"3600 Market St.
Philadelphia, Pennsylvania
(39.95620336300004, -75.19448340699995)"
3751822,St. Peter the Apostle Parish,19123,Other,85426,1843,3,771211200,10983.9,267906.1,Not Available,Not Available,Not Available,3.3,3.7,356.7,15.6,,"1019 North 5th Street
Philadelphia, Pennsylvania
(39.96931098600004, -75.14522189199994)"
4084040,"Urban Outfitters, Inc. - Building #010",19112,Office,57081,1903,1,788008310,4956619.2,1973630.4,Not Available,Not Available,21,121.4,309,1345,732.4,,"5000 S Broad Street
Philadelphia, Pennsylvania
(39.88993860900007, -75.17589250399999)"
3916385,Rodin Place,19130,Office,272000,1989,1,883066600,15227793.5,204783.3,Not Available,Not Available,70,63.8,198.5,Not Available,1939.3,,"2000 Hamilton Street
Philadelphia, Pennsylvania
(39.962250545000074, -75.17138833099995)"
4096807,Brite Star Mfg.,19145,Manufacturing/Industrial Plant,234365,1940,1,884095070,3573206.8,602286.5,Not Available,Not Available,Not Available,17.8,50.6,2161.1,484.5,,"2900 South 20th Street
Philadelphia, Pennsylvania
(39.914088615000026, -75.18179447999995)"
3681797,Northeast Regional Center,19154,College/University,109110,1995,1,772537500,4877423.3,1763252.5,Not Available,Not Available,Not Available,60.9,157.3,642.7,711.3,,"12901 Townsend Road
Philadelphia, Pennsylvania
(40.10800090500004, -74.97670538599994)"
3965855,ANDERSON,19122,College/University,207802,2000,1,777568800,12681994.6,13713,Not Available,14984700.2,Not Available,170.4,315.6,801.6,3340.7,,"1114 W. POLETT WALK
Philadelphia, Pennsylvania
(39.98135576100003, -75.15454312599996)"
3644299,1401 Arch St.,19102,Office,178250,1960,1,883056905,15081251.5,Not Available,Not Available,Not Available,40,84.6,265.7,Not Available,1909.8,,"1401 Arch St.
Philadelphia, Pennsylvania
(39.95448761600005, -75.16363682299993)"
3830422,"Barsky-Fleming Marketing, Inc.",19124,Distribution Center,104000,1920,2,884202100,360977,447488.4,Not Available,Not Available,Not Available,7.8,15.4,65.8,69.4,,"2070-80 Wheatsheaf Lane
Philadelphia, Pennsylvania
(40.00260319300003, -75.09340426299997)"
3890983,1015 Chestnut Street,19107,Office,135000,1940,1,883310000,5409207.4,Not Available,Not Available,3651568.2,83,67.1,158.4,3426.7,1008.3,,"1015 Chestnut Street
Philadelphia, Pennsylvania
(39.95011816300007, -75.15761730299994)"
3800036,24232-Philadelphia / Grant Avenue,19114,Non-Refrigerated Warehouse,111150,2000,1,884223000,208633.6,Not Available,Not Available,Not Available,100,1.9,5.9,39,26.4,,"2700 Grant Avenue
Philadelphia, Pennsylvania
(40.07563506900004, -75.01944488599997)"
3914011,3800 Jasper Street,19124,Other,74120,1919,3,884847405,455045.5,Not Available,Not Available,Not Available,Not Available,6.1,19.3,607.7,57.6,,"3800 Jasper Street
Philadelphia, Pennsylvania
(40.003646539000044, -75.09781218299997)"
3955822,PODIATRIC - UNIVERSITY,19107,College/University,146805,2000,1,771524000,8503533.1,10099.6,Not Available,3218527,Not Available,79.9,208.3,2905.9,1362.3,,"800 RACE STREET
Philadelphia, Pennsylvania
(39.95508334500005, -75.15359353499997)"
4125760,3600 Grays Ferry Ave (FedEx Express),19146,Not Available,Not Available,2001,1,884122536,2393135.2,3961067.3,Not Available,Not Available,Not Available,57.8,106.1,Not Available,513.3,,"3600 Grays Ferry Avenue
Philadelphia, Pennsylvania
(39.94034522100003, -75.20148031699995)"
3852983,Gesu School Inc,19121,K-12 School,62567,1923,1,772541000,1937041.9,1759403.4,Not Available,Not Available,61,59.1,126.7,Not Available,338.7,,"1700 W. Thompson St
Philadelphia, Pennsylvania
(39.973821188000045, -75.16401046499993)"
3685746,#4101 S Philadelphia,19148,Retail Store,126922,1994,1,882055160,5858799.8,3306190.9,Not Available,Not Available,67,72.2,172.3,833.8,917.4,,"1651 Christopher Columbus Blvd
Philadelphia, Pennsylvania
(39.92696258800004, -75.14475413699995)"
16290,Two Commerce Square,19102,Office,1103420,1992,1,883054361,70293751,Not Available,Not Available,Not Available,80,67.4,211.6,19881.4,8901.8,,"2001 Market Street
Philadelphia, Pennsylvania
(39.95361336600007, -75.17329108799998)"
3774263,State 6225 LP,19135,Non-Refrigerated Warehouse,72000,1929,2,884178501,778033.6,Not Available,Not Available,Not Available,Not Available,10.8,33.9,74.9,98.5,,"6201 Tacony St
Philadelphia, Pennsylvania
(40.01563853000005, -75.05217103799998)"
3669125,Northeast Racquet Club - NERC,19115,Fitness Center/Health Club/Gym,117000,1973,2,882069300,6432701.6,3149778.8,Not Available,Not Available,Not Available,81.9,200.9,16.2,981.8,,"1520 Grant Avenue
Philadelphia, Pennsylvania
(40.08806704600005, -75.04326540499994)"
4124780,Navona,19123,Multifamily Housing,163400,2009,1,881006665,8365449.5,5937604.6,Not Available,Not Available,Not Available,87.5,198.9,6116,1374.5,,"1050 North Hancock St
Philadelphia, Pennsylvania
(39.96613477200003, -75.13905282099995)"
4124779,Erbe,19123,Multifamily Housing,134673,2009,1,881006630,202498.8,8542521.5,Not Available,Not Available,Not Available,64.9,71.3,4063.2,479,,"1001-13 N th 2nd Street
Philadelphia, Pennsylvania
(39.95228311600005, -75.16244564499993)"
3694563,Midvale Depot,19129,Other - Public Services,443000,1996,1,884069525,25212295,31702286.8,2349174.1,Not Available,Not Available,133.8,259.2,14320.7,5049.6,,"4301 Wissahickon Avenue
Philadelphia, Pennsylvania
(40.01292558800003, -75.16906983199993)"
3330947,Wagner,19126,K-12 School,81589,1929,1,785097400,1517092.2,286138.3,7913962.6,Not Available,16,119.1,160,542.5,794.6,,"1701 CHELTEN AVE
Philadelphia, Pennsylvania
(40.05140834400004, -75.14845666299993)"
3959249,Somerton Center Nursing Home,19116,Senior Care Community,250000,1935,1,881436010,4945335.7,3829225,Not Available,Not Available,86,35.1,78.2,5840.4,829.5,,"650 Edison ave.
Philadelphia, Pennsylvania
(40.129596426000035, -75.00969658199995)"
3772904,All City Self Storage,19137,Self-Storage Facility,70506,1935,1,884247200,74881.1,8022.4,Not Available,Not Available,Not Available,1.2,3.5,0.1,9.9,,"5500 Sansom Street
Philadelphia, Pennsylvania
(39.95848372900008, -75.23162375499999)"
3582095,1435 Walnut St. (Drexel Building),19102,Office,56588,1908,1,883038000,4138943.7,660536.7,Not Available,Not Available,Not Available,84.8,241.9,1471.4,559.2,,"1435 Walnut St.
Philadelphia, Pennsylvania
(39.94954778400006, -75.16571784399997)"
3892827,3000 Orthodox St,19137,Other,67326,1950,1,884206500,1329345.9,241997.8,Not Available,Not Available,Not Available,23.3,65.8,230.7,181.1,,"3000 Orthodox St
Philadelphia, Pennsylvania
(39.992549789000066, -75.06935366799996)"
3989965,Tacony,19135,Self-Storage Facility,58500,2005,1,884177795,409844.7,406842.3,Not Available,Not Available,Not Available,14,29.3,0.1,73.5,,"6371 Keystone St.
Philadelphia, Pennsylvania
(40.01847497700004, -75.05029723199993)"
3966762,275 Geiger Rd.,19006,Non-Refrigerated Warehouse,77500,1984,1,884228000,1469014.1,3139614.9,Not Available,Not Available,33,59.5,102.1,1264.8,352.6,,"275 Geiger Rd.
Philadelphia, Pennsylvania
(40.10707507800004, -75.04566621099997)"
3884838,Hawk's Landing Parking Facility and Retail,19131,Parking,168365,2008,1,774510100,4376094.7,4123410.6,Not Available,Not Available,Not Available,453.9,965,1559.7,773,,"2461 N. 54th Street
Philadelphia, Pennsylvania
(39.99562727500006, -75.23413089699994)"
3790434,jerusalem,19120,Retail Store,5440,1950,1,884116400,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,"5691 rising sun ave
Philadelphia, Pennsylvania
(40.03972802100003, -75.10912822599994)"
3783041,"National Chemical Laboratories, Inc.",19123,Manufacturing/Industrial Plant,365000,1949,1,884031400,2866842.6,Not Available,Not Available,7939017.9,Not Available,29.6,50.8,5471.1,1066,,"401 N 10th Street
Philadelphia, Pennsylvania
(39.95882639300004, -75.15509388199996)"
3815208,Barratt (New Childs),19146,K-12 School,134000,1928,1,782673800,2427686.8,14117975.5,0,Not Available,24,123.5,167.5,2620.9,1056.7,,"1599 WHARTON ST
Philadelphia, Pennsylvania
(39.93454434200004, -75.17069821499996)"
4096072,Devon/Belmont LLC,19104,Self-Storage Facility,150000,1950,1,884220000,63299.1,1469788.2,Not Available,Not Available,Not Available,10.2,11.6,61.8,86,,"1300 Belmont Ave.
Philadelphia, Pennsylvania
(39.974873124000055, -75.21269536399996)"
3831495,Amtrak PIDC,19116,Office,59600,1987,1,883095100,Not Available,1326890.4,Not Available,Not Available,Not Available,Not Available,Not Available,1102.5,Not Available,,"2198 Hornig Rd.
Philadelphia, Pennsylvania
(40.11451651400006, -74.99504416599996)"
3643255,SPD Electrical,19116,Manufacturing/Industrial Plant,165000,1984,1,884243200,14993102.5,2631680,Not Available,Not Available,Not Available,106.8,302.1,990.8,2038.4,,"13500 Roosevelt Blvd.
Philadelphia, Pennsylvania
(40.11085456300003, -74.99327771799994)"
3596612,1500-1506 Walnut St.,19102,Office,329425,1930,1,883040500,18406119.3,2623755.9,Not Available,8250400.5,56,106.3,255.9,6836.5,3200.6,,"1500-1506 Walnut St.
Philadelphia, Pennsylvania
(39.94954024300006, -75.16606079199994)"
3820151,Schmidts Retail,19123,Other,127470,2011,1,882932475,11354416.1,899441.1,Not Available,Not Available,Not Available,132.5,395.8,9260.9,1485.6,,"180 W. Girard Ave.
Philadelphia, Pennsylvania
(39.96941312200005, -75.13920499199997)"
3330830,Smith,19146,K-12 School,64449,1925,1,782745000,355959.3,97831.3,3878904,Not Available,56,67.2,79.7,493.7,338.1,,"1900 WHARTON ST
Philadelphia, Pennsylvania
(39.93516069900005, -75.17564820699994)"
3330800,Washington Martha,19104,K-12 School,71300,1930,1,783691500,1465736.9,6425371.5,Not Available,Not Available,66,110.7,159.2,912.6,526.6,,"766 N 44TH ST
Philadelphia, Pennsylvania
(39.966237344000035, -75.21107606099997)"
3983897,1810 LIACOURAS WALK,19122,College/University,74630,2000,1,777509000,2921818.4,Not Available,Not Available,5334792,Not Available,156,254.3,1144,1020.8,,"1810 Liacouras Walk
Philadelphia, Pennsylvania
(39.98039782500007, -75.15623456499998)"
3980267,BOYER PKG GAR on Tioga Street,19140,Parking,188099,1970,1,777532901,3848736,Not Available,0,Not Available,Not Available,20.5,64.2,0,487.4,,"3501 N BROAD ST
Philadelphia, Pennsylvania
(40.00623604300006, -75.15184078499993)"
3727278,Holiday Inn Express Midtown,19107,Hotel,110000,1964,1,883700000,5267128.3,37291.1,Not Available,2918,Not Available,48.2,150.7,72138.8,669.3,,"1305 Walnut Street
Philadelphia, Pennsylvania
(39.94917790100004, -75.16261705399995)"
3673605,ez storage,19136,Self-Storage Facility,85350,2006,5,884256025,4137926.9,111458.4,Not Available,Not Available,Not Available,49.8,153.6,274.3,529.9,,"7245 state road
Philadelphia, Pennsylvania
(40.02524403000007, -75.03253425799994)"
4123417,Distribution Center #9001,19153,Non-Refrigerated Warehouse,385000,1969,1,773102500,9538290.4,10844243.2,Not Available,Not Available,61,52.9,107.4,340.6,1783.4,,"8201 Enterprise Avenue
Philadelphia, Pennsylvania
(39.88606392100007, -75.21832995999995)"
3790331,NARA,19154,Other - Public Services,300000,1994,1,884292516,5571857.4,3975373.1,Not Available,Not Available,Not Available,31.8,72.2,Not Available,916.6,,"14700 Townsend Road
Philadelphia, Pennsylvania
(40.103934415000026, -74.98299293599996)"
3849600,Deliverance Evangelistic Church,19132,Worship Facility,160000,1992,1,776185400,4624368.9,1106833.9,Not Available,Not Available,Not Available,35.8,98,1545.5,644.3,,"2001-49 West Lehigh Ave.
Philadelphia, Pennsylvania
(39.995233477000056, -75.16418961699998)"
3958447,RITTER ANNEX,19122,College/University,153050,2000,1,777540000,5357682.8,1854,Not Available,12097607.7,Not Available,187.4,278.3,1269.3,2341.1,,"1301 C.B. MOORE
Philadelphia, Pennsylvania
(39.95228311600005, -75.16244564499993)"
3951080,jal associates inc,19134,Distribution Center,102000,1920,1,884094300,246592.1,1565644.1,Not Available,Not Available,95,17.8,23.7,446.6,114.3,,"2216 e allegheny ave
Philadelphia, Pennsylvania
(39.99052983900003, -75.10816482399997)"
3479871,United Way,19103,Office,75400,1970,1,772687010,4341677.9,Not Available,Not Available,1871026.6,77,82.4,210.7,1158.6,715.5,,"1709 Benjamin Franklin Parkway
Philadelphia, Pennsylvania
(39.95606166300007, -75.16794909499998)"
3885323,1520 Locust street,19102,Office,50000,1940,1,881030400,2113181.9,1266857.8,Not Available,Not Available,74,67.6,159.3,1289.8,334.8,,"1520 Locust Street
Philadelphia, Pennsylvania
(39.948513035000076, -75.16715358699997)"
3877243,St. Monica Sr. School,19145,Other - Education,53616,1971,1,773200000,1082379.5,2130016,Not Available,Not Available,Not Available,59.9,105.1,392.8,250.1,,"2500 S 16th st
Philadelphia, Pennsylvania
(39.991358329000036, -75.15846538199997)"
3892939,Philadelphia Academy High School,19116,K-12 School,85000,1950,1,778299100,2655136.5,2343747,Not Available,Not Available,43,58.8,127,370.3,460.6,,"1700 Tomlinson Road
Philadelphia, Pennsylvania
(40.10433687600005, -75.01537847899993)"
3989970,Frankford,19134,Self-Storage Facility,63000,2007,1,884202501,537822.3,357889.9,Not Available,Not Available,Not Available,14.2,32.8,8.4,87.1,,"3300 Frankford Ave
Philadelphia, Pennsylvania
(39.99440611500006, -75.10750456699998)"
3687917,Westin Philadelphia Hotel,19103,Hotel,240000,1990,1,883704000,12880375.1,1484688.2,Not Available,7967597.1,40,93.1,215,20021.4,2415.4,,"99 South 17th Street
Philadelphia, Pennsylvania
(39.951554127000065, -75.16871359599998)"
3330873,Jones,19134,K-12 School,118000,1924,1,786324800,1943962.8,192471.7,9702964,Not Available,59,100.3,136.5,505.1,976.5,,"2950 MEMPHIS ST
Philadelphia, Pennsylvania
(39.98584823700003, -75.11276830699995)"
3950682,Richmond Mills LP,19134,Other,111570,1905,1,884843500,2638256,7427935.8,Not Available,Not Available,Not Available,90.2,144.2,Not Available,728.3,,"2100 E Willard St
Philadelphia, Pennsylvania
(39.993042685000034, -75.10812406899998)"
3330885,Elverson (Military),19122,K-12 School,74557,1930,1,781654210,968696.1,4310651.6,Not Available,Not Available,32,70.8,101.5,296.5,351.5,,"2118-60 N 13TH ST
Philadelphia, Pennsylvania
(39.98477331300006, -75.15436588899996)"
3980064,9815 Roosevelt Blvd.,19154,Non-Refrigerated Warehouse,78500,1971,1,884266000,1252997.6,1113557.6,Not Available,Not Available,63,30.1,65,264.1,217.8,,"9815 Roosevelt Blvd.
Philadelphia, Pennsylvania
(40.08715903900003, -75.02213892099996)"
3365000,178-3020 MARKET,19104,Office,254750,1959,1,883071700,14375922.9,Not Available,Not Available,8076755.4,91,88.1,215.3,3942.6,2535.6,,"3020 MARKET STREET
Philadelphia, Pennsylvania
(39.954942767000034, -75.18436406899997)"
3877086,11600 Caroline Rd.,19154,Non-Refrigerated Warehouse,100000,1974,1,884269500,1256980.8,489926.2,Not Available,Not Available,71,17.5,44.6,362.5,185.2,,"11600 Caroline Rd.
Philadelphia, Pennsylvania
(40.09671196200003, -75.00534922899999)"
3894558,Tucker House Nursing,19123,Senior Care Community,64752,1978,1,881444100,6262541.8,4073344.4,Not Available,Not Available,10,159.6,369.7,10060.4,1009.3,,"1001 Wallace Street
Philadelphia, Pennsylvania
(39.964137976000075, -75.15467552799998)"
3679905,Med Arts,19120,Office,110000,1930,1,883332000,8295019,223726.5,Not Available,Not Available,58,77.4,238.9,4654.7,1062.4,,"1601 Walnut Street
Philadelphia, Pennsylvania
(39.94979782900003, -75.16772742399996)"
3337456,Adaire,19125,K-12 School,49890,1957,1,781352000,852916.1,3351217.3,Not Available,Not Available,60,84.3,124.2,400.6,285.9,,"1300 E PALMER ST
Philadelphia, Pennsylvania
(39.97243670900008, -75.12930496999996)"
3687914,"Arbill Industries, Inc.",19154,Distribution Center,98719,1968,1,884284000,1959965.4,3047164.8,Not Available,Not Available,62,51.4,96,230.6,409.9,,"10450 Drummond Road
Philadelphia, Pennsylvania
(40.08626486900005, -74.99522622699999)"
3892172,Cancer Treatment Centers of America,19124,Medical Office,168548,1983,2,778037515,37115394.8,61760829.7,Not Available,Not Available,Not Available,586.6,1076.2,13833.7,7978,,"1331 East Wyoming Ave.
Philadelphia, Pennsylvania
(40.01831826700004, -75.09828746499994)"
3762384,Paul's Run,19115,Not Available,Not Available,1981,4,778038005,18959883.5,57328896.3,Not Available,Not Available,Not Available,Not Available,Not Available,16338.7,5443.6,,"9896 Bustleton ave
Philadelphia, Pennsylvania
(40.09336384200003, -75.03142431099997)"
3430362,Gallery I,19107,Enclosed Mall,432762,1977,1,882506502,43917831,Not Available,Not Available,Not Available,Not Available,101.5,318.7,13863.2,5561.6,,"907-37 Market Street
Philadelphia, Pennsylvania
(39.95140162300004, -75.15533895399994)"
3815264,Northeast Shopping Center,19114,Retail Store,69842,1961,1,882093500,5982225.5,40790.1,Not Available,Not Available,8,86.2,269.6,268.4,759.8,,"9173-75 E Roosevelt Boulevard
Philadelphia, Pennsylvania
(40.076048668000055, -75.03291677899995)"
4140104,Facilities 4100ches,19104,Other,67779,1940,0,884099200,2233198.7,Not Available,Not Available,Not Available,Not Available,32.9,103.5,Not Available,282.8,,"4100 Chestnut St.
Philadelphia, Pennsylvania
(39.955972907000046, -75.20515353699994)"
2849421,Spruce Residence Hall,19107,Residence Hall/Dormitory,79412,1922,1,772508050,3711652.1,1333485.1,Not Available,Not Available,Not Available,63.5,164.4,2761.5,540.8,,"1224-34 Spruce Street
Philadelphia, Pennsylvania
(39.94664623800003, -75.16199253399998)"
19331,1835 Market Street,19103,Office,751503,1986,1,883104005,43389858.1,Not Available,Not Available,13639516.7,83,83.1,222.4,15419.1,6702.4,,"1835 Market Street
Philadelphia, Pennsylvania
(39.95332842000005, -75.17092730999997)"
3751824,Saint Francis de Sales Parish,19143,K-12 School,67884,1890,3,774385000,40387.8,432393.5,Not Available,Not Available,Not Available,7,8.6,551.5,28,,"4625 Springfield Avenue
Philadelphia, Pennsylvania
(39.94735789500004, -75.21467391399995)"
3570108,2815 N. 17TH STREET,19132,Residence Hall/Dormitory,60000,1945,1,881427010,3485842.5,3763151.4,Not Available,Not Available,23,120.8,248.3,6603.7,641.1,,"2815 N. 17TH STREET
Philadelphia, Pennsylvania
(39.996582775000036, -75.15887559499998)"
3642562,Scott Memorial Library,19107-5587,Library,111970,1976,1,771019000,16271538,Not Available,Not Available,5406431.6,Not Available,193.6,514.4,3380.4,2539.3,,"1020 Walnut Street
Philadelphia, Pennsylvania
(39.948472941000034, -75.15765357699996)"
3788380,OUR LADY OF VICTORY HALL,19154,Other - Education,11869,1996,0,778144000,200049.3,386524.5,Not Available,Not Available,Not Available,49.4,87.1,35.6,45.8,,"12645 DUNKS FERRY RD
Philadelphia, Pennsylvania
(40.10175384100006, -74.97255047299996)"
3815280,Impact Services Corporation,19134,Other,191781,1930,2,886605650,1549137.1,648007.6,Not Available,Not Available,Not Available,11.5,28.9,1640.3,230.6,,"118-160 East Indiana Ave.
Philadelphia, Pennsylvania
(39.99538444800004, -75.12956615899998)"
3642778,856-950 East Erie Avenue,19134,Non-Refrigerated Warehouse,818423,1952,4,884108500,2639614,Not Available,Not Available,Not Available,Not Available,3.7,10.6,97.7,354.5,,"950 East Erie Avenue
Philadelphia, Pennsylvania
(40.00557873400004, -75.11077974099999)"
3892834,2801-2817 Southampton Rd,19151,Office,63000,1998,1,884291400,850010.7,1629429.7,Not Available,Not Available,99,39.4,69.5,492.2,194.1,,"2801-2817 Southampton Rd
Philadelphia, Pennsylvania
(40.11261179400003, -74.98693407799993)"
