Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommend Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Wash Dryer,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Address
Aspenwood,"221345, 221346",03/22/2011 12:00:00 AM,34,10%,,Needed,1967,Yes,Gas and Electric,84,4.86,02/10/2014 12:00:00 AM,"4553 Guadalupe
Austin, TX 78751
(30.31248446200044, -97.7318347859997)"
Cliffs at Barton Creek,366036,04/26/2011 12:00:00 AM,38,15%,12,Needed,1994,Yes,Gas and Electric,210,7.87,02/10/2014 12:00:00 AM,"3050 Tamarron Blvd
Austin, TX 78746
(30.25834983900046, -97.80250139799966)"
State Street Apartments,121361,10/07/2010 12:00:00 AM,60,15%,18,Needed,1963,Yes,Gas and Electric,15,6.66,02/10/2014 12:00:00 AM,"1808 W. 35th St Austin Texas
Austin, TX 78703
(30.308297575000438, -97.75335432299966)"
Circle Oaks II,230074,09/27/2011 12:00:00 AM,59,10%,13,Complete,1984,Yes,Electric,21,16.65,02/10/2014 12:00:00 AM,"6409 Burns St
Austin, TX 78752
(30.331504896000467, -97.72100809799969)"
1717 Enfield,110361,11/05/2012 12:00:00 AM,12,15%,12,Needed,1973,Yes,Electric,16,11.41,02/10/2014 12:00:00 AM,"1717 ENFIELD RD
Austin, TX 78703
(30.284457779000434, -97.7616878289997)"
Village Oaks,155451,04/14/2011 12:00:00 AM,39,15%,11,Needed,1984,No,Electric,280,10.17,02/10/2014 12:00:00 AM,"10926 Jollyville Rd
Austin, TX 78759
(30.403304656000444, -97.74805103899968)"
Elmwood,208662,12/19/2012 12:00:00 AM,19,10%,30,Complete,1948,No,Gas and Electric,6,5.95,02/10/2014 12:00:00 AM,"604 ELMWOOD PL
Austin, TX 78705
(30.29048642400045, -97.7332181759997)"
702 W. 22nd,203563,05/19/2011 12:00:00 AM,26,10%,,Complete,1978,No,Electric,5,7.7,02/10/2014 12:00:00 AM,"702 W. 22nd Street
Austin, TX 78705
(30.28525844000046, -97.74528849399968)"
Country Club Creek,"445755, 445757, 287440",12/18/2012 12:00:00 AM,30,15%,30,Needed,1997,Yes,Electric,254,9.4,02/10/2014 12:00:00 AM,"4600 Sheringham Drive
Austin, TX 78741
(30.229907428000445, -97.72211433699965)"
1300 Norwalk,112976,04/08/2011 12:00:00 AM,,N\A,,Needed,1949,No,Gas and Electric,6,8.66,02/10/2014 12:00:00 AM,"1300 Norwalk Ln
Austin, TX 78703
(30.28801693000048, -97.77279640599966)"
Argosy at Crestview,232010,11/15/2010 12:00:00 AM,47,15%,12,Needed,1984,Yes,Electric,289,12.8,02/10/2014 12:00:00 AM,"1003 Justin Lane
Austin, TX 78757
(30.337685145000478, -97.72163228199969)"
French Quarter,227692,09/28/2010 12:00:00 AM,20,10%,,Complete,1963,Yes,Gas and Electric,106,6.05,02/10/2014 12:00:00 AM,"2211 W. North Loop
Austin, TX 78756
(30.325633777000462, -97.74141428999968)"
Sunrise Bluffs,336629,03/11/2011 12:00:00 AM,40,15%,21,Needed,1996,Yes,Electric,382,11.16,02/10/2014 12:00:00 AM,"1704 Nelms St
Austin, TX 78705
(30.292743355000482, -97.74027859399968)"
3006 Duval St.,208470,05/20/2011 12:00:00 AM,,N\A,,Needed,1955,Yes,Gas and Electric,8,11.52,02/10/2014 12:00:00 AM,"3006 Duval St.
Austin, TX 78705
(30.29236726600044, -97.73385657299968)"
Stonehollow,"261737, 369490",05/25/2011 12:00:00 AM,51,15%,30,Needed,1995,Yes,Electric,608,10.55,02/10/2014 12:00:00 AM,"11900 Stonehollow DR
Austin, TX 78758
(30.401728539000487, -97.70526018799967)"
Ambassador,199818,12/18/2012 12:00:00 AM,,N\A,1,Complete,1947,Yes,Gas and Electric,48,10.45,02/10/2014 12:00:00 AM,"407 W 18 ST
Austin, TX 78701
(30.280638810000482, -97.7421516389997)"
The Crossing Apartments,430697,03/03/2011 12:00:00 AM,20,10%,38,Complete,1999,Yes,Electric,240,11.4,02/10/2014 12:00:00 AM,"9323 Manchaca Road
Austin, TX 78748
(30.179324849000466, -97.82047481299969)"
Camden Huntingdon,264708,03/01/2011 12:00:00 AM,23,10%,25,Complete,1995,No,Electric,399,11.03,02/10/2014 12:00:00 AM,"12349 Metric Blvd
Austin, TX 78758
(30.410426842000447, -97.69572569099967)"
Barranca Square,206070,02/22/2011 12:00:00 AM,30,10%,18,Needed,1969,Yes,Gas and Electric,20,8.82,02/10/2014 12:00:00 AM,"910 W 26th St
Austin, TX 78705
(30.290858328000468, -97.74695851099966)"
The Retreat Apartments,217946,03/04/2011 12:00:00 AM,34,10%,,Needed,1972,Yes,Gas and Electric,24,7.88,02/10/2014 12:00:00 AM,"4400 Avenue A
Austin, TX 78751
(30.30953646700044, -97.73264610699965)"
Wilshire West,213390,05/24/2011 12:00:00 AM,16,15%,,Needed,1963,Yes,Gas and Electric,90,10.36,02/10/2014 12:00:00 AM,"4411 Airport Blvd
Austin, TX 78722
(30.300876064000477, -97.71351789199969)"
Mountain Ranch Apartments,286708,12/17/2012 12:00:00 AM,38,15%,30,Needed,2000,Yes,Electric,196,7.06,02/10/2014 12:00:00 AM,"2425 E RIVERSIDE DR
Austin, TX 78741
(30.235496657000454, -97.72479820899969)"
Lincoln Oaks,548019,05/24/2011 12:00:00 AM,23,15%,19,Complete,1986,Yes,Electric,296,10.73,02/10/2014 12:00:00 AM,"11700 Metric Blvd.
Austin, TX 78758
(30.39588821500047, -97.7061046719997)"
1907 Robbins Place,112559,02/04/2011 12:00:00 AM,68,15%,23,Complete,1965,Yes,Electric,10,6.77,02/10/2014 12:00:00 AM,"1907 Robbins Place
Austin, TX 78705
(30.284467255000436, -97.74936878499966)"
Mesquite Tree Apartments,206179,03/28/2011 12:00:00 AM,31,10%,9,Needed,1974,Yes,Electric,15,12.28,02/10/2014 12:00:00 AM,"2410 Longview St
Austin, TX 78705
(30.289242793000483, -97.75080192099966)"
Rockwood,250017,09/20/2010 12:00:00 AM,8,10%,21,Complete,1983,Yes,Electric,88,9.83,02/10/2014 12:00:00 AM,"8615 Rockwood Ln
Austin, TX 78757
(30.368913287000453, -97.72953347799967)"
Lemon Tree,218081,02/09/2011 12:00:00 AM,17,10%,11,Complete,1970,Yes,Gas and Electric,12,7.75,02/10/2014 12:00:00 AM,"4406 Ave C
Austin, TX 78751
(30.308937156000468, -97.73060655299969)"
Mueller View Apartments,218523,11/20/2012 12:00:00 AM,35,10%,22,Complete,1965,Yes,Gas and Electric,7,5.89,02/10/2014 12:00:00 AM,"1212 E 51 ST
Austin, TX 78723
(30.30778591000046, -97.7070178519997)"
Swedish Hill Apartments,198366,05/19/2011 12:00:00 AM,24,10%,13,Needed,1985,Yes,Electric,7,10.27,02/10/2014 12:00:00 AM,"1009 East 16th St.
Austin, TX 78702
(30.276253374000476, -97.72889626599965)"
Chaparral,509976,01/24/2011 12:00:00 AM,19,10%,7,Needed,1985,Yes,Electric,29,11.5,02/10/2014 12:00:00 AM,"4601 Sagebrush Trail
Austin, TX 78745
(30.228908971000465, -97.79949181299969)"
Oakplace Apartments,212577,03/24/2011 12:00:00 AM,30,10%,,Needed,1979,Yes,Electric,9,12.3,02/10/2014 12:00:00 AM,"621 W. 37th St.
Austin, TX 78705
(30.302704793000487, -97.74015289499965)"
1400  Rio Grande Apartments,199626,12/28/2010 12:00:00 AM,32,10%,,Needed,1970,Yes,Gas and Electric,19,4.86,02/10/2014 12:00:00 AM,"1400 Rio Grande
Austin, TX 78701
(30.27814250700044, -97.7464894849997)"
AUSTIN PREISS CAMPUS ESTATES,"445769, 445768",12/21/2010 12:00:00 AM,47,10%,12,Complete,1996,No,Electric,518,11.71,02/10/2014 12:00:00 AM,"1300 CROSSING PL
Austin, TX 78741
(30.235865008000474, -97.71436711399969)"
Congress Square Apartments,188629,05/25/2011 12:00:00 AM,30,10%,,Needed,1971,Yes,Electric,115,8.24,02/10/2014 12:00:00 AM,"500 S. Congress Ave
Austin, TX 78704
(30.256531771000482, -97.74715986199965)"
Fountainhead,509240,04/01/2011 12:00:00 AM,34,15%,12,Needed,1983,Yes,Electric,129,12.75,02/10/2014 12:00:00 AM,"4100 Victory Dr
Austin, TX 78704
(30.234045755000466, -97.79008167899968)"
Scott II,212997,05/19/2011 12:00:00 AM,75,15%,,Needed,1973,Yes,Electric,18,12.71,02/10/2014 12:00:00 AM,"3405 Helms ST
Austin, TX 78705
(30.29851435100045, -97.73407450499968)"
Comanche Apartments,206948,04/30/2011 12:00:00 AM,48,15%,,Needed,1967,Yes,Electric,11,10.04,02/10/2014 12:00:00 AM,"28000 Swisher St.
Austin, TX 78705
(30.28746089000049, -97.72642828799968)"
Southern Oaks apts.,303899,04/01/2011 12:00:00 AM,,N\A,19,Needed,1972,No,Electric,12,11.43,02/10/2014 12:00:00 AM,"2407 S. 5th Street
Austin, TX 78704
(30.24330902200046, -97.7645315959997)"
WANG PAMELA PAN,133828,04/02/2011 12:00:00 AM,56,10%,24,Needed,1981,No,Electric,6,9.61,02/10/2014 12:00:00 AM,"3619 North Hills Drive
Austin, TX 78731
(30.35202597500046, -97.7569975669997)"
Lindy's Landing,310851,05/18/2011 12:00:00 AM,13,10%,14,Needed,1985,Yes,Electric,53,15.58,02/10/2014 12:00:00 AM,"121 Woodward St
Austin, TX 78704
(30.229205073000458, -97.75936283299967)"
Stoney Ridge Apartments,307416,06/22/2011 12:00:00 AM,34,15%,12,Needed,1986,Yes,Electric,225,12.62,02/10/2014 12:00:00 AM,"3200 S. 1st St
Austin, TX 78704
(30.232985708000456, -97.76542700999966)"
Lanshire Oaks,"310106, 309978",05/10/2011 12:00:00 AM,75,10%,22,Needed,1982,Yes,Electric,44,5.15,02/10/2014 12:00:00 AM,"3702 and 3704 S. 2nd St
Austin, TX 78704
(30.230106409000484, -97.7704264029997)"
Shoal Creek North,251464,05/24/2011 12:00:00 AM,24,10%,,Needed,1972,Yes,Electric,52,12.71,02/10/2014 12:00:00 AM,"8605 Shoal Creek Blvd
Austin, TX 78757
(30.371938269000452, -97.73718239499965)"
Rustic Creek Apartments,226838,05/24/2011 12:00:00 AM,23,15%,11,Complete,1972,Yes,Gas and Electric,54,13.39,02/10/2014 12:00:00 AM,"7211 Northeast Dr
Austin, TX 78751
(30.32196921400049, -97.67940689599965)"
Nichols Park Apts (formerly Convict Hill),321630,12/15/2010 12:00:00 AM,22,15%,17,Needed,1985,Yes,Electric,200,12.59,02/10/2014 12:00:00 AM,"5001 Convict Hill Rd.
Austin, TX 78749
(30.218045566000455, -97.85281274699969)"
Burleson Place,289005,05/12/2011 12:00:00 AM,8.7,10%,9,Needed,1988,Yes,Electric,50,19.22,02/10/2014 12:00:00 AM,"2507 Burleson Place Rd
Austin, TX 78741
(30.228175821000434, -97.73543894399967)"
The Montecito,216495,12/18/2012 12:00:00 AM,,NA,10,Needed,1962,Yes,Electric,48,9.22,02/10/2014 12:00:00 AM,"4719 HARMON AVE
Austin, TX 78751
(30.306844304000435, -97.71419537499969)"
Oak Creek,227765,01/04/2011 12:00:00 AM,18,10%,,Needed,1972,Yes,Gas and Electric,92,6.26,02/10/2014 12:00:00 AM,"1507 Houston St.
Austin, TX 78756
(30.326961760000472, -97.73582531499966)"
Escala,106861,05/23/2011 12:00:00 AM,48,10%,,Needed,1972,Yes,Gas and Electric,30,6.33,02/10/2014 12:00:00 AM,"1211 W. 8th St
Austin, TX 78703
(30.274775230000444, -97.75706270899968)"
Avalon Apartments,207017,05/10/2011 12:00:00 AM,33,10%,,Needed,1972,Yes,Gas and Electric,24,9.25,02/10/2014 12:00:00 AM,"1100 E. 32nd St
Austin, TX 78722
(30.28940624200044, -97.72231805499968)"
Kinney Avenue Apartments,100250,02/01/2011 12:00:00 AM,16,10%,13,Complete,1996,Yes,Electric,10,12.37,02/10/2014 12:00:00 AM,"1703 Kinney Ave
Austin, TX 78704
(30.252834043000462, -97.7678147799997)"
MylesMark at Riata,271973,12/10/2010 12:00:00 AM,41,15%,28,Complete,2000,No,Gas and Electric,204,7.48,02/10/2014 12:00:00 AM,"12610 Riata Trace Parkway
Austin, TX 78727
(30.431672781000486, -97.73924918999967)"
The Pastures,303885,05/17/2011 12:00:00 AM,69,10%,22,Complete,1973,Yes,Electric,64,9.28,02/10/2014 12:00:00 AM,"2207 S. 5th Street
Austin, TX 78704
(30.245304752000436, -97.76394531399967)"
Orleans,214667,05/01/2011 12:00:00 AM,22,10%,11,Needed,1963,Yes,Electric,48,2.28,02/10/2014 12:00:00 AM,"206 W. 38th St
Austin, TX 78705
(30.301215990000458, -97.73492846399967)"
Hyde Park Plaza,217997,02/01/2011 12:00:00 AM,22,10%,1,Needed,1971,Yes,Gas and Electric,40,9.97,02/10/2014 12:00:00 AM,"4400 Ave B
Austin, TX 78751
(30.309207201000447, -97.73165593999965)"
204 E 30 St,210433,05/20/2011 12:00:00 AM,29,10%,6,Needed,1950,No,Electric,8,10.77,02/10/2014 12:00:00 AM,"204 E 30 St
Austin, TX 78705
(30.29340362500045, -97.7362929039997)"
The Castile,106610,02/15/2011 12:00:00 AM,70,10%,,Needed,1969,Yes,Gas and Electric,44,7.85,02/10/2014 12:00:00 AM,"807 West Lynn
Austin, TX 78703
(30.277276704000485, -97.76105298499965)"
Speedway,210189,04/30/2011 12:00:00 AM,,N\A,13,Needed,1958,Yes,Electric,6,7.31,02/10/2014 12:00:00 AM,"3201 Speedway
Austin, TX 78705
(30.296523359000446, -97.73606549699969)"
Archway,"205397, 205396",05/24/2011 12:00:00 AM,7.5,10%,,Complete,1963,Yes,Electric,102,13.72,02/10/2014 12:00:00 AM,"2506 Manor Rd
Austin, TX 78722
(30.28491733000044, -97.71543545099968)"
Universtiy Crest,285960,05/24/2011 12:00:00 AM,25,15%,,Needed,1968,Yes,Gas and Electric,105,10.03,02/10/2014 12:00:00 AM,"1616 Royal Crest
Austin, TX 78741
(30.238176975000442, -97.73081619299967)"
Santa Fe Apts,223346,05/29/2013 12:00:00 AM,34,10%,0,Needed,1967,Yes,Gas and Electric,40,7.5,02/10/2014 12:00:00 AM,"1101 CLAYTON LN
Austin, TX 78723
(30.31838519100046, -97.7021120279997)"
Su Casa,"214675, 214747",01/06/2011 12:00:00 AM,41,10%,,Needed,1970,Yes,Gas and Electric,71,6.19,02/10/2014 12:00:00 AM,"109 W. 39th St.
Austin, TX 78751
(30.30217536200047, -97.73347282399965)"
Kenniston Apts,232427,11/16/2010 12:00:00 AM,,N\A,13,Needed,1972,Yes,Electric,24,11.21,02/10/2014 12:00:00 AM,"400 Kenniston Drive
Austin, TX 78752
(30.33382633800045, -97.71431855299966)"
Guadalupe Park Apartments,235096,01/31/2011 12:00:00 AM,24,10%,,Needed,1971,Yes,Gas and Electric,8,8.68,02/10/2014 12:00:00 AM,"7102 Guadalupe St
Austin, TX 78752
(30.336837108000452, -97.71509552599969)"
Studio 45 Apartments,220076,04/29/2011 12:00:00 AM,75,15%,,Complete,1972,Yes,Electric,23,14.78,02/10/2014 12:00:00 AM,"4504 Speedway
Austin, TX 78751
(30.30902717100048, -97.72820575499969)"
QUAIL RUN,252119,04/18/2011 12:00:00 AM,10,10%,12,Needed,1984,Yes,Electric,132,14.01,02/10/2014 12:00:00 AM,"1200 MEARNS MEADOW BLVD.
Austin, TX 78758
(30.370727803000477, -97.70199595599968)"
Georgian Apartments,236515,05/21/2011 12:00:00 AM,33,15%,17,Complete,1983,Yes,Electric,69,14.34,02/10/2014 12:00:00 AM,"8005 Georgian Dr.
Austin, TX 78753
(30.345687016000454, -97.70413263099965)"
Red Oak Apartments,112568,02/21/2011 12:00:00 AM,,N\A,17,Needed,1972,Yes,Electric,37,8.82,02/10/2014 12:00:00 AM,"2104 San Gabriel St.
Austin, TX 78705
(30.284943387000453, -97.74816187199968)"
2000 GLEN ALLEN,305368,02/18/2013 12:00:00 AM,19,10%,,Needed,1978,No,Electric,9,14.85,02/10/2014 12:00:00 AM,"2000 GLEN ALLEN ST
Austin, TX 78704
(30.240928359000463, -97.78119268499967)"
Sandstone Apts,"205401, 204047",05/25/2011 12:00:00 AM,31,10%,15,Needed,1985,Yes,Electric,95,12.49,02/10/2014 12:00:00 AM,"2408 Manor Rd.
Austin, TX 78722
(30.284737300000472, -97.71656419299967)"
Cedar Ranch,206095,05/23/2011 12:00:00 AM,,N\A,,Needed,1959,Yes,Gas and Electric,14,8.41,02/10/2014 12:00:00 AM,"2508 San Gabriel
Austin, TX 78705
(30.290343110000435, -97.74763244099967)"
"NMF Housing, INC Benjamin Todd Apartments",217507,02/01/2011 12:00:00 AM,75,10%,,Needed,1971,Yes,Electric,20,11.01,02/10/2014 12:00:00 AM,"1507 W. 39&frac12; St
Austin, TX 78756
(30.321333491000473, -97.73934876299967)"
Barton Creek Landing,101322,01/30/2011 12:00:00 AM,27,15%,19,Needed,1985,Yes,Electric,250,9.76,02/10/2014 12:00:00 AM,"2800 Bartons Bluff
Austin, TX 78746
(30.25654598300048, -97.7973693509997)"
AMLI of Scofield Ridge,"378888, 378903",05/26/2011 12:00:00 AM,43,15%,26,Needed,1999,Yes,Electric,758,7.51,02/10/2014 12:00:00 AM,"2601 Scofield Ridge Pkwy
Austin, TX 78727
(30.429613093000455, -97.69677626299966)"
Sao Paulo Apartments,199657,06/01/2011 12:00:00 AM,50,10%,,Needed,1963,Yes,Gas and Electric,14,8.53,02/10/2014 12:00:00 AM,"1218 Baylor St
Austin, TX 78703
(30.278474142000448, -97.75183827899968)"
Central Park II,230008,05/10/2011 12:00:00 AM,11,15%,,Complete,1974,Yes,Electric,47,15.38,02/10/2014 12:00:00 AM,"6010 N. Lamar Blvd
Austin, TX 78757
(30.32900697600047, -97.72445591399969)"
Shanti,210637,05/24/2011 12:00:00 AM,38,10%,9,Complete,1959,Yes,Electric,16,14.55,02/10/2014 12:00:00 AM,"3304 Red River
Austin, TX 78705
(30.292369634000465, -97.72621357799966)"
Timber Creek,101697,05/25/2011 12:00:00 AM,11.3,15%,10,Needed,1974,Yes,Electric,198,9.17,02/10/2014 12:00:00 AM,"614 S. 1st St.
Austin, TX 78704
(30.256415699000456, -97.7512567339997)"
Villa Arcos,213026,05/01/2011 12:00:00 AM,34,10%,,Needed,1966,Yes,Electric,22,6.87,02/10/2014 12:00:00 AM,"3301 Speedway
Austin, TX 78705
(30.297654471000442, -97.73536432699967)"
Cannon Place,328472,01/12/2012 12:00:00 AM,31.3,15%,14,Complete,1984,Yes,Electric,185,13.73,02/10/2014 12:00:00 AM,"1500 W WILLIAM CANNON DR
Austin, TX 78745
(30.200817145000485, -97.79985187399967)"
Zinfandel Apartments,203775,04/01/2011 12:00:00 AM,47,10%,,Needed,1983,Yes,Electric,15,14.79,02/10/2014 12:00:00 AM,"2020 Nueces
Austin, TX 78705
(30.283734105000462, -97.74407210599969)"
Parkside,104252,09/13/2013 12:00:00 AM,6.6,10%,22,Needed,1985,Yes,Gas and Electric,42,9.53,02/10/2014 12:00:00 AM,"1221 Barton Hills Dr
Austin, TX 78704
(30.261563142000455, -97.7742579669997)"
River Stone Ranch,314369,04/05/2011 12:00:00 AM,53,15%,15,Complete,1998,Yes,Gas and Electric,448,10.84,02/10/2014 12:00:00 AM,"5701 S. MoPac Expy
Austin, TX 78749
(30.228200693000474, -97.82863894799965)"
Clayton Lane Apts,223338,05/29/2013 12:00:00 AM,53.28,,12,Needed,1966,Yes,Gas and Electric,38,10.86,02/10/2014 12:00:00 AM,"1105 CLAYTON LN
Austin, TX 78723
(30.318225295000445, -97.70177210199967)"
Wood Gate Apartments,306014,10/09/2010 12:00:00 AM,75,10%,,Needed,1977,No,Gas and Electric,114,10.62,02/10/2014 12:00:00 AM,"3622 Manchaca Rd.
Austin, TX 78704
(30.237995761000434, -97.78318723199965)"
The Park Apartments,285043,05/23/2011 12:00:00 AM,45,10%,15,Needed,1973,Yes,Electric,168,8.42,02/10/2014 12:00:00 AM,"1300 South Pleasant Valley Rd
Austin, TX 78741
(30.240176259000464, -97.71872574099967)"
6th Street West,"107200, 107163",02/21/2011 12:00:00 AM,13,10%,19,Needed,1961,Yes,Gas and Electric,129,10.24,02/10/2014 12:00:00 AM,"1616 W 6th Street
Austin, TX 78705
(30.27543376300048, -97.76377357399969)"
502 W 35th,212884,02/01/2011 12:00:00 AM,43,10%,11,Complete,1972,No,Electric,10,13.81,02/10/2014 12:00:00 AM,"502 W 35th
Austin, TX 78751
(30.31036235200048, -97.72429766299967)"
The Establishment,309744,05/24/2011 12:00:00 AM,20,10%,13,Needed,1972,Yes,Electric,140,11.7,02/10/2014 12:00:00 AM,"3501 S. 1st St
Austin, TX 78704
(30.232163728000444, -97.76586524099969)"
Maiden Lane Efficiencies,212578,03/24/2011 12:00:00 AM,23,10%,,Needed,1974,No,Electric,11,9.17,02/10/2014 12:00:00 AM,"630 Maiden Ln.
Austin, TX 78705
(30.302165887000456, -97.74015881699967)"
12443 TECH RIDGE,461061,04/04/2013 12:00:00 AM,37.8,15%,21,Needed,2001,Yes,Gas and Electric,300,9.01,02/10/2014 12:00:00 AM,"12443 TECH RIDGE BLVD
Austin, TX 78753
(30.398652627000445, -97.66345171599966)"
Newmont Apartment,253385,04/30/2011 12:00:00 AM,75,15%,10,Needed,1972,Yes,Electric,10,10.61,02/10/2014 12:00:00 AM,"10810 Newmont
Austin, TX 78758
(30.37945571700044, -97.69225655599968)"
Enfield House,112175,01/07/2011 12:00:00 AM,59,10%,,Needed,1937,Yes,Gas and Electric,10,9.04,02/10/2014 12:00:00 AM,"1708 Enfield Rd
Austin, TX 78703
(30.283973355000455, -97.7609629699997)"
Austin Cascades Apartments,285313,10/05/2010 12:00:00 AM,39,15%,,Complete,1971,Yes,Gas and Electric,198,5.96,02/10/2014 12:00:00 AM,"1221 Algarita Ave.
Austin, TX 78704
(30.237514891000444, -97.7414332409997)"
Camden Gaines Ranch,380512,02/28/2011 12:00:00 AM,61,15%,26,Complete,1996,Yes,Gas and Electric,390,8.3,02/10/2014 12:00:00 AM,"4424 Gaines Ranch Loop
Austin, TX 78735
(30.242436112000462, -97.81692158399966)"
Logan's Mill,338025,03/03/2011 12:00:00 AM,36,10%,12,Complete,1986,Yes,Electric,256,12.18,02/10/2014 12:00:00 AM,"1912 E. William Cannon Dr
Austin, TX 78744
(30.188327546000437, -97.7646429299997)"
Oaktree,206115,05/13/2011 12:00:00 AM,43,15%,13,Needed,1940,No,Gas and Electric,6,7.98,02/10/2014 12:00:00 AM,"1010 W. 25th St
Austin, TX 78705
(30.28951757700048, -97.74855864899968)"
Summer Grove,R066402,02/16/2011 12:00:00 AM,15,10%,14,Complete,1984,No,Electric,124,14.69,02/10/2014 12:00:00 AM,"7905 San Felipe Blvd
Austin, TX 78729
(30.43728214400045, -97.76763119599968)"
Spanish Palms,243473,11/08/2012 12:00:00 AM,67,15%,1,Complete,1972,Yes,Electric,112,12.84,02/10/2014 12:00:00 AM,"1007 E RUNDBERG LN
Austin, TX 78753
(30.355857540000443, -97.68426652899967)"
Bradford Pointe Apartments,260360,05/18/2011 12:00:00 AM,75,15%,19,Needed,1982,Yes,Electric,264,13.44,02/10/2014 12:00:00 AM,"11701 Metric Blvd.
Austin, TX 78758
(30.396487526000442, -97.70536323199968)"
4712 Depew,216363,02/02/2011 12:00:00 AM,,N\A,9,Needed,1971,Yes,Electric,12,9.15,02/10/2014 12:00:00 AM,"4712 Depew Ave
Austin, TX 78751
(30.307986075000485, -97.71643627799966)"
Bannister Place Apartments,312816,05/29/2011 12:00:00 AM,29,10%,,Needed,1969,Yes,Gas and Electric,20,8.37,02/10/2014 12:00:00 AM,"1301 W. Ben White
Austin, TX 78704
(30.227423721000434, -97.78014092999967)"
Snooty Fox Apartment,230096,05/10/2011 12:00:00 AM,42,10%,,Needed,1972,No,Electric,20,16.24,02/10/2014 12:00:00 AM,"721 Lamar Place
Austin, TX 78752
(30.331324865000454, -97.72228252299965)"
North Plaza Apartments,243475,03/21/2011 12:00:00 AM,,N\A,12,Needed,1979,No,Gas and Electric,62,7.04,02/10/2014 12:00:00 AM,"9125 North Plaza
Austin, TX 78753
(30.35454166100044, -97.68554805999969)"
Walnut Creek,219376,05/19/2011 12:00:00 AM,20,10%,30,Complete,1991,Yes,Electric,98,6.92,02/10/2014 12:00:00 AM,"6409 Springdale
Austin, TX 78723
(30.30733228100047, -97.66965091499969)"
Grey Moss at Riata,745904,12/03/2010 12:00:00 AM,67,15%,20,Complete,1998,Yes,Gas and Electric,192,8.28,02/10/2014 12:00:00 AM,"12445 Alameda Trace Circle
Austin, TX 78727
(30.429127485000436, -97.74470576499965)"
Hunter's Chase Apartments,"R065344, R065343",05/27/2011 12:00:00 AM,36,15%,19,complete,1983,No,Electric,425,14.37,02/10/2014 12:00:00 AM,"12343 Hunter's Chase Drive
Austin, TX 78729
(30.442576456000438, -97.7707461929997)"
Willow Wood Apartments,310883,07/19/2011 12:00:00 AM,44,15%,35,Complete,1984,,Electric,24,7.52,02/10/2014 12:00:00 AM,"3401 Willow Springs Rd
Austin, TX 78704
(30.227512552000462, -97.75648590199967)"
Montage Apartments,208166,02/22/2011 12:00:00 AM,32,10%,22,Needed,1967,Yes,Gas and Electric,14,5.6,02/10/2014 12:00:00 AM,"2812 Rio Grande
Austin, TX 78705
(30.294533551000484, -97.74405197099969)"
THE ARBORS OF TALLWOOD,254987,04/23/2011 12:00:00 AM,69,10%,11,Needed,1972,Yes,Gas and Electric,115,6.71,02/10/2014 12:00:00 AM,"8810 TALLWOOD DR.
Austin, TX 78759
(30.378485946000467, -97.74324189099968)"
Villa del Rey Apartments,214643,05/10/2011 12:00:00 AM,13.4,15%,,Needed,1971,Yes,Electric,33,12.83,02/10/2014 12:00:00 AM,"4000 Avenue A
Austin, TX 78751
(30.305057030000455, -97.73552658999967)"
1203 W. 49th St. Apts.,223184,04/07/2011 12:00:00 AM,33,10%,,Needed,1980,No,Gas and Electric,11,6.8,02/10/2014 12:00:00 AM,"1203 W. 49th St.
Austin, TX 78756
(30.318934757000477, -97.7371930549997)"
Duval Court Apts - North,218354,05/01/2011 12:00:00 AM,18,10%,11,Needed,1971,Yes,Gas and Electric,13,3.07,02/10/2014 12:00:00 AM,"4520 Duval Rd.
Austin, TX 78751
(30.307717214000434, -97.72416573399966)"
Nova House,208472,05/25/2011 12:00:00 AM,81,15%,1,Needed,1960,Yes,Gas and Electric,12,8.32,02/10/2014 12:00:00 AM,"406 E. 30th
Austin, TX 78705
(30.292123278000474, -97.73469276599968)"
Spring Oak,109577,01/07/2011 12:00:00 AM,,N\A,7,Needed,1960,Yes,Electric,35,7.88,02/10/2014 12:00:00 AM,"700 Hearn
Austin, TX 78703
(30.28077663400046, -97.77174701999968)"
Austin View Apartments,286709,05/20/2011 12:00:00 AM,19,15%,,Needed,1969,Yes,Electric,255,12.88,02/10/2014 12:00:00 AM,"1911 Willow Creek Dr
Austin, TX 78741
(30.23313376000044, -97.72877545599965)"
The Park at Crestview,"242656, 240376",03/29/2011 12:00:00 AM,25,15%,9,Complete,1970,Yes,Electric,258,7.6,02/10/2014 12:00:00 AM,"8220 Research Blvd
Austin, TX 78758
(30.35494317600046, -97.71534188299967)"
Silver Springs,258615,05/27/2011 12:00:00 AM,21,10%,22,Needed,1996,Yes,Electric,360,11.87,02/10/2014 12:00:00 AM,"12151 N. IH 35
Austin, TX 78753
(30.371744244000467, -97.6805695279997)"
Tintara at Canyon Creek,497787,03/24/2011 12:00:00 AM,50,15%,27,Complete,2000,No,Gas and Electric,550,9.11,02/10/2014 12:00:00 AM,"7655 North FM 620
Austin, TX 78726
(30.410740708000446, -97.85038434499967)"
